datetime,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind
2025-01-01 00:00:00,12.206754,6716.620693999999,967.922294,16915.397673,4.1445419999999995,5085.294922,19.254096,5.4e-05,-860.123978,15034.209597000001
2025-01-01 01:00:00,12.211295,5997.053747,843.259559,17221.749352,4.142624,5083.977285999999,32.588918,6.6e-05,-860.0948460000001,14870.352507
2025-01-01 02:00:00,12.21077,5748.563024,682.364093,16837.847986,13.44534,5080.932301,70.625076,5.4e-05,-729.725106,15299.618999
2025-01-01 03:00:00,12.208412,5729.715935,807.150569,16701.722811,12.717379,5081.583959,210.750414,6.6e-05,-840.230151,15104.659216
2025-01-01 04:00:00,12.213046,5734.337802,1017.1798620000001,16653.231813,4.147407,5082.252665,114.181754,6e-05,-327.039962,14918.765549
2025-01-01 05:00:00,12.205676,6155.133021,1127.3462399999999,17997.280782,5.1709499999999995,5082.217722,78.58232899999999,5.4e-05,-281.571053,13832.175586000001
2025-01-01 06:00:00,12.210025,6301.736221,1141.9313280000001,18357.855194,82.37713,5083.290731,134.362147,7.2e-05,-170.306488,13983.422909
2025-01-01 07:00:00,12.205867999999999,6479.896162,1167.6106570000002,19047.797391,94.852812,5083.939338,1185.2232960000001,83.12397200000001,-341.273865,13101.766166000001
2025-01-01 08:00:00,12.191514999999999,6397.302566,1115.415732,17980.378946,40.016295,5083.324249,450.515023,5065.297592999999,-417.174568,10695.301342
2025-01-01 09:00:00,12.180401,5099.798912,907.895003,12736.975957,22.103802,5083.9871729999995,30.149738,15276.771186999998,-849.022726,8166.2344410000005
2025-01-01 10:00:00,12.183043,4620.737093,850.8128839999999,10704.262668,22.143007,5085.257124,8.779667,18594.309939,-1320.805112,7846.735092
2025-01-01 11:00:00,12.176955,4626.6183519999995,858.898817,10725.10893,21.511215,5084.573066999999,36.318478999999996,18815.28697,-1026.53399,7012.899002
2025-01-01 12:00:00,12.188791,4729.75572,864.464072,11041.110062,4.096138,5084.259561,49.309664,18107.706028,-285.98027,6125.202762
2025-01-01 13:00:00,12.196077,4813.104728,858.616706,10832.315645,4.088571,5084.388239,15.916176,18246.245583,-426.810574,5443.490009
2025-01-01 14:00:00,12.199604,4923.5050599999995,856.679397,10644.864338,4.083233,5083.724238,31.431494,18479.364087,-820.859363,5033.8115720000005
2025-01-01 15:00:00,12.198001,4751.813331,871.30416,10403.548164,4.076226999999999,5083.570324,91.766615,18172.029084,-424.542278,5027.612945
2025-01-01 16:00:00,12.210485,4960.942109,985.08925,14699.36382,11.64723,5083.595486,304.255129,13188.666055000002,-138.445087,5276.553813
2025-01-01 17:00:00,12.200884,7955.076642,1949.090939,20790.794286,113.463369,5083.407831,2533.381766,2692.487324,-40.676171,4923.322421
2025-01-01 18:00:00,12.226501,9579.360762,2869.791926,21550.413131,140.985623,5084.559751,3816.828294,7.8363830000000005,-60.522679,4659.025343
2025-01-01 19:00:00,12.206326,10035.844502,3334.08605,21848.594609,123.952245,5084.561594,1914.915986,0.015895,-119.860399,5476.429296
