episode,start_idx,reward,mean_td_error,mean_delta_q,mean_entropy,steps
0,0,81821.52208517051,,0.3937830632683831,0.9577159569112894,335
1,0,82337.94956193258,,0.49325651233785006,0.007556832232739275,335
2,0,85138.6005075389,,0.5510043670472787,2.4263660264784783e-05,335
3,0,83842.85882157032,,0.5829866448850896,1.1102314036065607e-16,335
4,0,80871.04315341759,,0.6051902752850581,1.1102230246240434e-16,335
5,0,83525.40250203222,,0.6298774903926623,1.1102230246240434e-16,335
6,0,79274.56001191573,,0.6532083068548167,1.1102230246240434e-16,335
7,0,79570.40038889297,,0.647372847901568,1.1102230246240434e-16,335
8,0,83071.40373272274,,0.6675625474905512,1.1102230246240434e-16,335
9,0,82841.40948478272,,0.6841636786032644,1.1102230246240434e-16,335
10,0,83515.52523143584,,0.6682925943109091,1.1102230246240434e-16,335
11,0,85067.15270903602,,0.6821128992506136,1.1102230246240434e-16,335
12,0,82467.92691839344,,0.6983187330960379,1.1102230246240434e-16,335
13,0,80349.70967903815,,0.6737414842657988,1.1102230246240434e-16,335
14,0,82022.03483372086,,0.6830896599671882,1.1102230246240434e-16,335
15,0,87221.41772411078,,0.695142748032152,1.1102230246240434e-16,335
16,0,85153.16513939213,,0.693467049159995,1.1102230246240434e-16,335
17,0,85630.44092889069,,0.7004150014546755,1.1102230246240434e-16,335
18,0,82982.52357430599,,0.703543031712008,1.1102230246240434e-16,335
19,0,83403.99774149216,,0.7017271863624007,1.1102230246240434e-16,335
20,0,82172.0630842214,,0.6860304423442722,1.1102230246240434e-16,335
21,0,80908.95228974182,,0.6708475346491298,1.1102230246240434e-16,335
22,0,81060.79784411556,,0.683332089310109,1.1102230246240434e-16,335
23,0,80353.23775769307,,0.6746016853932012,1.1102230246240434e-16,335
24,0,81849.57619957069,,0.6670198318472549,1.1102230246240434e-16,335
25,0,84908.8586872594,,0.6859281016537196,1.1102230246240434e-16,335
26,0,79143.0683452338,,0.6794141226904105,1.1102230246240434e-16,335
27,0,80670.96980235899,,0.6778277863985928,1.1102230246240434e-16,335
28,0,83149.4274255155,,0.6852684137834086,1.1102230246240434e-16,335
29,0,79963.62977428474,,0.6848305428447774,1.1102230246240434e-16,335
30,0,84799.9720448728,,0.6751039811923213,1.1102230246240434e-16,335
31,0,81044.4891403643,,0.6888845564795321,1.1102230246240434e-16,335
32,0,82971.63055761211,,0.6741619741645655,1.1102230246240434e-16,335
33,0,81809.47666582478,,0.6863579273346486,1.1102230246240434e-16,335
34,0,82867.50296728224,,0.6872084887156863,1.1102230246240434e-16,335
35,0,77700.91335108176,,0.6578026280354943,1.1102230246240434e-16,335
36,0,82561.10019634647,,0.6836011382626437,1.1102230246240434e-16,335
37,0,80942.36998471459,,0.6691178505847735,1.1102230246240434e-16,335
38,0,79052.35925922988,,0.6720799373108837,1.1102230246240434e-16,335
39,0,82927.69861411431,,0.6788700962987106,1.1102230246240434e-16,335
40,0,84048.89810912056,,0.6868953119731533,1.1102230246240434e-16,335
41,0,84625.16346930721,,0.6892660760064626,1.1102230246240434e-16,335
42,0,84226.67462303625,,0.6861036010284092,1.1102230246240434e-16,335
43,0,79224.9990870287,,0.6954116048495442,1.1102230246240434e-16,335
44,0,85367.91284686083,,0.6770473181473697,1.1102230246240434e-16,335
45,0,81579.81978781267,,0.6940321157458784,1.1102230246240434e-16,335
46,0,81477.57676197181,,0.6802952241701884,1.1102230246240434e-16,335
47,0,83138.71141017665,,0.675767833878108,1.1102230246240434e-16,335
48,0,83892.42655556361,,0.7072868838393056,1.1102230246240434e-16,335
49,0,81724.72533953185,,0.6994765109149188,1.1102230246240434e-16,335
50,0,82221.58863709812,,0.6894569501878166,1.1102230246240434e-16,335
51,0,82952.96521231081,,0.7055423108601502,1.1102230246240434e-16,335
52,0,83356.62256671232,,0.7048857388777393,1.1102230246240434e-16,335
53,0,80977.59469461469,,0.6666520123435866,1.1102230246240434e-16,335
