episode,delta_q,profit,profit_variance,risk_adjusted_variance,steps
1,1716.7427832561361,74216.38465169651,81652.46311478101,1.1001945661725725,335
2,1695.2084286680524,82652.86066091034,83070.69532033983,1.0050552958007544,335
3,1702.4523333498098,87984.92038587318,87153.4904437102,0.990550313184049,335
4,1532.422711970323,86399.47021102563,85873.46167587128,0.9939119009193049,335
5,1472.265653735966,85994.5819734568,89819.50407549393,1.0444786405637425,335
6,1490.2010419131714,85925.09105822498,87000.80968012732,1.01251926077289,335
7,1492.0167153258142,83665.94734885712,81897.32002038757,0.9788608462041936,335
8,1559.0122261881938,91071.72905288002,92682.19153276859,1.0176834512381256,335
9,1340.0346418265178,83997.83266612297,82436.05207928682,0.9814068942343576,335
10,1368.9436885393561,84216.39568674793,81447.27905375614,0.9671190317464845,335
11,1334.9105321813468,83997.78040423393,77332.79418788131,0.9206528293451685,335
12,1365.0352320019483,84434.44528363587,80706.92057925144,0.9558530325879169,335
13,1401.1361713265258,88446.78008618677,90802.08639300933,1.0266296444541811,335
14,1331.2722665468611,86988.87387165969,89135.93919507944,1.024682068267457,335
15,1313.6478551569214,88105.65962487349,75443.257557014,0.8562816268355448,335
16,1341.6223476896337,87779.42112106856,76673.04391288184,0.8734740208314072,335
17,1647.069132510832,96361.53885539062,98155.87300524462,1.0186208540373827,335
18,1447.0643005075538,95047.3874066688,89979.04926441897,0.9466756711515493,335
19,1318.1851368260018,88322.50296400316,85859.1804112475,0.97210991004445,335
20,1292.630849469722,84540.44647933551,85612.35851912251,1.0126792805623388,335
21,1376.602969715119,82295.41794964926,92110.62813420147,1.1192680033601172,335
22,1329.6539819511634,76751.05045364195,72548.76055821124,0.9452477865696658,335
23,1131.5564535865092,75587.33742414505,75132.80466702022,0.9939866547410681,335
24,1257.5605242680363,72927.81334884778,71620.2887188831,0.982070974434404,335
25,1185.6582948263942,76993.97418583193,83827.65154287976,1.0887560023923852,335
26,1076.9141821039475,76135.2147101387,79637.95889483343,1.0460068865375882,335
27,1078.4054440864622,68475.0831745476,77550.59501906118,1.132537434403229,335
28,904.018241939278,68886.60432547418,78157.21997350495,1.1345779159648774,335
29,730.4706225736825,61249.54081152885,76676.45469218201,1.2518698699817334,335
30,1068.4130652087013,54631.407084858205,60693.339425454746,1.1109605749522342,335
31,805.8041254145033,51388.01718496259,61455.00600594806,1.1959014838953421,335
32,680.9846234917114,57184.58352671494,65941.17693906737,1.1531285684410044,335
33,659.5757952374463,59326.043859675374,70894.48618956805,1.1949977038287554,335
34,1236.7488908395221,67418.24727776575,84006.37131985062,1.2460479871825902,335
35,1202.13771130125,65880.92655438406,75995.24780538035,1.1535242714389495,335
36,1247.3866701876896,75731.82145695994,80959.58138529422,1.0690298982349797,335
37,1021.2480327942011,63668.03216211848,65079.036413329064,1.022161895118849,335
