episode,profit,profit_variance,risk_adjusted_variance,steps
1,92888.76790221267,131102.8640167287,1.4113963074064162,335
2,94621.19455373396,124862.36389547914,1.3196024895305931,335
3,100898.6321330101,130047.04487377565,1.2888880862361705,335
4,96540.55749598533,126694.51526061617,1.3123449723798384,335
5,98483.21744908999,136154.68637508794,1.3825166348312905,335
6,102317.69682384281,138129.87546451556,1.3500096244573991,335
7,94422.97232278148,128739.84780283768,1.3634377804029678,335
8,97735.18032105683,122705.47163505394,1.255489284738187,335
9,97301.07311140826,142562.47478143047,1.465168576488195,335
10,95778.33936249196,135805.31291770673,1.4179125867249656,335
11,95534.36275338693,142482.00343028698,1.4914215086991902,335
12,92414.96234021273,130880.91960683378,1.416230838519415,335
13,94322.08919691003,129726.9830046377,1.3753616370159216,335
14,95687.93823121351,125994.16342203219,1.3167193875321643,335
15,99281.80809297018,139299.29069045096,1.4030696395052886,335
16,104903.10914360813,147508.28627573999,1.4061383640573801,335
17,101789.0932666831,134621.45272769016,1.3225528237585775,335
18,102158.50278553463,133050.02423632832,1.3023881577007101,335
19,100539.23849347654,129823.70673695471,1.2912740207930398,335
20,86348.4744557302,118612.17176992889,1.3736452498732465,335
21,84242.01430848916,110214.70740989273,1.3083104471633364,335
22,85338.22813912231,107500.84150159573,1.259703228503061,335
23,75297.44664872659,68959.1343350886,0.9158230113271134,335
24,75717.40509266176,68142.34335477586,0.8999561365233706,335
25,73530.90987804592,72802.04322913002,0.9900876155329147,335
26,68400.57368818522,71649.48447606074,1.0474982973487286,335
27,71295.17433863766,72566.78579085667,1.017835869874852,335
28,62772.604942423175,66304.6119939487,1.0562666955554039,335
29,63524.59942242805,68907.33816416094,1.084734713648924,335
30,57653.57889194923,64437.73430517177,1.1176710196243984,335
31,58128.37478316914,58920.79614694174,1.013632264220673,335
32,58624.650892466496,60349.12048477942,1.0294154347369298,335
33,62334.43668934844,64611.30094631508,1.0365265875153942,335
34,73037.80300658548,82152.48275286866,1.1247940021614573,335
35,72480.54580077395,92784.92795241433,1.2801356133194401,335
36,68530.41041830229,88085.59292750293,1.2853504362490324,335
37,73265.74962363718,88017.93758511025,1.2013517644635097,335
38,74103.21657395439,101155.80739137335,1.3650663502630425,335
39,78152.76430420385,99240.5279291994,1.269827482274335,335
40,83277.81826382701,107359.1208891285,1.2891682698626687,335
41,89213.0107417563,109272.68861147668,1.224851484138055,335
42,88370.34771919882,115677.54152843663,1.3090085590247387,335
43,91080.76232168116,103786.32121921402,1.13949772239112,335
44,92086.48961835733,105573.97313209187,1.1464653888927736,335
45,91273.19354377211,111436.06302108493,1.2209068040073678,335
46,93329.06608726009,111851.30940448094,1.1984616807361073,335
47,91139.79194284035,104973.74711344985,1.151788311951317,335
48,83904.9514491927,93042.39092368445,1.1089022675856466,335
49,73270.9564761258,68429.19792508552,0.9339198123798585,335
50,76049.17121785742,71526.24882888199,0.9405263421473975,335
51,77767.57409064281,73112.36360889598,0.9401394406834614,335
52,69982.0271341096,66751.15581181574,0.9538328417364657,335
53,68069.03655968411,63996.736787781134,0.9401739766311851,335
54,63620.81669468878,55639.90131762447,0.8745549681423798,335
55,66853.87522220766,63127.673239545155,0.94426348554535,335
56,62501.5683870942,60263.23294531903,0.9641875316164547,335
57,64537.103763350446,65698.78124569543,1.0180001489777808,335
58,62912.09603459912,66339.48638449825,1.054479036082404,335
59,60507.1509019924,59091.85846057314,0.9766095011857115,335
60,62050.84677078476,58350.20571497697,0.9403611514039877,335
