episode,delta_q,profit,profit_variance,risk_adjusted_variance,steps
1,1492.7475214804153,61207.80040830026,97377.96611894477,1.5909404597019898,335
2,1425.4425141668323,69691.22303286911,102523.06279428047,1.471104370573492,335
3,1261.3940320154647,67545.4905644697,104398.14137725567,1.5455975003630482,335
4,1156.4108762238009,66079.87061304529,102964.19045119092,1.5581778459301108,335
5,1077.8870718087258,62024.56785000129,98964.28635632615,1.595565915036168,335
6,1244.3446724066719,72191.20511882308,111908.97372956667,1.5501746167743653,335
7,1137.060683362934,62990.16671516537,98483.33698200622,1.5634716038667027,335
8,1132.7547143416612,68672.95487606838,111335.1933122199,1.6212378441138338,335
9,1123.5290576566795,66924.85473395849,106852.2685130162,1.596600679041625,335
10,1100.0711202931166,66562.75496300925,111228.23320613119,1.6710280887250994,335
11,1060.5340373400263,66348.9430405703,97521.96101059529,1.469834432041351,335
12,1210.240508973766,71583.49847618866,109977.60596724851,1.5363541641348502,335
13,1109.4700751393525,69977.48244228293,108577.55223485052,1.551607009074515,335
14,1072.8937769542379,66660.21072848137,108002.69052841583,1.620197256326017,335
15,1065.1748735644833,70676.4568858986,106901.01173291975,1.5125406173867435,335
16,1070.7133021726156,69683.01140619483,96358.17496590083,1.3828072728401166,335
17,1239.5077587372928,73102.44517498882,107830.88191590323,1.4750653231607853,335
18,1099.2729169002937,74442.92662485747,112335.3209553453,1.5090126899688543,335
19,1033.1008688135717,71497.59389100263,105380.54557566546,1.4739033838859292,335
20,981.0987449224766,59646.27757149817,90425.3917982753,1.5160274115994408,335
21,1025.5328882593947,54158.05810116139,85406.72709857098,1.5769902040989854,335
22,1032.9726134245197,57964.79953129658,80163.80691584216,1.3829739352854309,335
23,835.9363115262394,51566.683415940344,58863.00302398619,1.1414929005455292,335
24,967.3446224576538,53975.19250490259,63536.69224667835,1.1771461906485192,335
25,887.0804337610944,55481.95568761647,63943.02200737888,1.15250122701856,335
26,692.3739374343513,47865.87453960102,59743.08569703558,1.248135258608838,335
27,774.5701392796535,46425.746316303324,55703.51956499678,1.199841122326199,335
28,528.738630816703,42333.02535069585,50486.20377239378,1.1925961670384608,335
29,474.15816546947866,40407.19178990713,49652.39648848134,1.2288009705458223,335
30,819.8948835335067,40342.5295365537,46735.44060794137,1.1584657963894796,335
31,621.1006533558012,39802.80824710896,43977.52566382659,1.1048849968270722,335
32,466.41346057132495,38521.21222720285,50794.191352038375,1.318603138770265,335
33,443.74924495537823,42003.229578187,47844.111487694965,1.1390579240728158,335
34,866.4904916056081,45569.670700745824,60226.8776402582,1.3216439073205608,335
35,888.1469998140653,49733.13710875948,70104.17233652584,1.4096068820915848,335
36,848.686026580802,46728.35365702877,62525.36467482059,1.3380605089090762,335
37,815.9758828835328,49972.477473512205,61660.235477542265,1.2338839015978904,335
38,619.2961770586318,46587.48379006771,68049.66717790859,1.46068560999214,335
39,1090.2082531064796,55635.69175099782,86436.01653649933,1.5536072944565047,335
40,1029.7615507742196,64035.23389893926,97709.01799484958,1.5258633731086109,335
41,751.6204795909376,62030.03801151959,86192.55964631599,1.3895293701141258,335
42,1115.152840850778,64076.94567168283,85838.38520284709,1.339614182652401,335
43,986.6582106208465,75256.3442030797,102454.7924771835,1.3614107031387945,335
44,1219.9779737402598,69127.90856101966,87840.9161933498,1.2707011975604519,335
45,1036.2596373331876,64372.14612939949,83329.75167973827,1.2945001322810905,335
46,1290.5667035755673,75624.60017303789,105236.16721799463,1.391559981503216,335
47,1063.9616032593788,66302.94276305084,85496.81317928371,1.2894874588721315,335
48,1085.4913704439498,60826.74832141206,80221.95760377785,1.3188598736178891,335
49,1017.1488785750652,61755.85185068729,80870.49915748907,1.309519612052375,335
50,1021.433409521988,56669.08111386611,72196.58665373475,1.2740031289488571,335
51,1091.8050490607948,58082.36716710215,73110.98468646297,1.25874664295467,335
52,721.7404810896512,59915.50330782078,75026.82871236929,1.2522106061080773,335
53,491.85424056974705,43687.364404977336,48651.63290036894,1.1136316773280763,335
54,501.1721095642157,41062.64520641713,46186.281292412095,1.1247760844492067,335
55,598.9972181926667,40054.22827437688,46749.79336883248,1.1671625040077767,335
