seed,warm_start_q,episode,cumulative_reward,freeze_k,n_agents,cumulative_reward_per_agent
0,True,0,15744.133033089236,5,2,7872.066516544618
0,True,1,3868.2101311112024,5,2,1934.1050655556012
0,True,2,31144.35408634143,5,2,15572.177043170715
0,True,3,23027.320718265844,5,2,11513.660359132922
0,True,4,11782.901860563648,5,2,5891.450930281824
0,True,5,41837.75301956785,5,2,20918.876509783924
0,True,6,62422.209309019,5,2,31211.1046545095
0,True,7,117912.70029067896,5,2,58956.35014533948
0,True,8,122918.03297843235,5,2,61459.01648921618
0,True,9,126771.54959421247,5,2,63385.774797106234
0,True,10,98418.57757932362,5,2,49209.28878966181
0,True,11,94106.08688248784,5,2,47053.04344124392
0,True,12,92630.21172617518,5,2,46315.10586308759
0,True,13,102137.08140468117,5,2,51068.540702340586
0,True,14,103125.75587547729,5,2,51562.877937738645
0,True,15,96728.35312375285,5,2,48364.176561876426
0,True,16,95732.11954964776,5,2,47866.05977482388
0,True,17,97721.29693368275,5,2,48860.648466841376
0,True,18,86082.94049017478,5,2,43041.47024508739
0,True,19,86960.78954960153,5,2,43480.39477480076
0,True,20,55894.300179735656,5,2,27947.150089867828
0,True,21,3442.8980205048133,5,2,1721.4490102524067
0,True,22,-178.0108803253039,5,2,-89.00544016265195
0,True,23,-7499.253576940792,5,2,-3749.626788470396
0,True,24,-12773.02310659669,5,2,-6386.511553298345
0,True,25,-14652.457631870315,5,2,-7326.228815935157
0,True,26,-7579.826319198706,5,2,-3789.913159599353
0,True,27,-10228.095395121505,5,2,-5114.047697560753
0,True,28,-9709.524783123386,5,2,-4854.762391561693
0,True,29,-8602.91748862412,5,2,-4301.45874431206
0,True,30,-11797.92391397101,5,2,-5898.961956985505
0,True,31,-1321.3399208129044,5,2,-660.6699604064522
0,True,32,-6874.608749275639,5,2,-3437.3043746378194
0,True,33,-7102.031545026748,5,2,-3551.015772513374
0,True,34,-6276.559839344091,5,2,-3138.2799196720457
0,True,35,-14082.497235049786,5,2,-7041.248617524893
0,True,36,53142.34657899931,5,2,26571.173289499657
0,True,37,85684.35418422987,5,2,42842.17709211494
0,True,38,108904.14560993847,5,2,54452.07280496923
0,True,39,83873.04434925558,5,2,41936.52217462779
0,True,40,108060.51828653543,5,2,54030.259143267715
0,True,41,123043.37482381907,5,2,61521.68741190954
0,True,42,115183.03840495918,5,2,57591.51920247959
0,True,43,118387.1695847939,5,2,59193.58479239695
0,True,44,116138.18751482139,5,2,58069.093757410694
0,True,45,116940.91913262695,5,2,58470.459566313475
0,True,46,133568.96777122826,5,2,66784.48388561413
0,True,47,104858.47189839694,5,2,52429.23594919847
0,True,48,109935.81664701758,5,2,54967.90832350879
0,True,49,126603.42483184025,5,2,63301.71241592013
0,True,50,50106.08387223924,5,2,25053.04193611962
0,True,51,33499.39180175195,5,2,16749.695900875977
0,True,52,23289.837812359943,5,2,11644.918906179972
0,True,53,18454.801870850508,5,2,9227.400935425254
0,True,54,24425.428740460517,5,2,12212.714370230258
0,True,55,27104.348116573576,5,2,13552.174058286788
0,True,56,31727.882807252525,5,2,15863.941403626262
0,True,57,34619.87834183534,5,2,17309.93917091767
0,True,58,31976.118871928076,5,2,15988.059435964038
0,True,59,39744.76322706683,5,2,19872.381613533416
0,True,60,60636.00467216293,5,2,30318.002336081467
0,True,61,69888.4926627333,5,2,34944.24633136665
0,True,62,70321.99693476631,5,2,35160.99846738316
0,True,63,61895.831590803005,5,2,30947.915795401503
0,True,64,76536.84282581686,5,2,38268.42141290843
0,True,65,69709.68471868512,5,2,34854.84235934256
0,True,66,59191.71369564215,5,2,29595.856847821076
0,True,67,60276.24452555441,5,2,30138.122262777204
0,True,68,44868.40256970628,5,2,22434.20128485314
0,True,69,60864.14265336185,5,2,30432.071326680925
0,True,70,51690.61978209828,5,2,25845.30989104914
0,True,71,46440.1046692689,5,2,23220.05233463445
0,True,72,48848.04414256199,5,2,24424.022071280993
0,True,73,27607.825121051006,5,2,13803.912560525503
0,True,74,38761.383708313166,5,2,19380.691854156583
0,True,75,30123.323360856895,5,2,15061.661680428448
0,True,76,41026.919522129996,5,2,20513.459761064998
0,True,77,43760.72253041151,5,2,21880.361265205756
0,True,78,60746.2232920174,5,2,30373.1116460087
0,True,79,53893.71537820198,5,2,26946.85768910099
0,True,80,62962.08979965198,5,2,31481.04489982599
0,True,81,52571.8032034671,5,2,26285.90160173355
0,True,82,64327.56837608812,5,2,32163.78418804406
0,True,83,57952.24633843612,5,2,28976.12316921806
0,True,84,50312.87472474564,5,2,25156.43736237282
0,True,85,66873.43431283282,5,2,33436.71715641641
0,True,86,55443.932452699526,5,2,27721.966226349763
0,True,87,64449.93291296504,5,2,32224.96645648252
0,True,88,58852.26192127618,5,2,29426.13096063809
0,True,89,41847.541620779564,5,2,20923.770810389782
0,True,90,44094.40369965667,5,2,22047.201849828336
0,True,91,43303.322757852075,5,2,21651.661378926037
0,True,92,23499.711395657137,5,2,11749.855697828569
0,True,93,19919.02324254654,5,2,9959.51162127327
0,True,94,19645.38988244792,5,2,9822.69494122396
0,True,95,20802.503873951006,5,2,10401.251936975503
0,True,96,32505.639825024322,5,2,16252.819912512161
0,True,97,34143.00997390833,5,2,17071.504986954165
0,True,98,30019.214230778958,5,2,15009.607115389479
0,True,99,33615.86009706315,5,2,16807.930048531576
0,True,100,51308.894857191706,5,2,25654.447428595853
0,True,101,41700.46324510171,5,2,20850.231622550855
0,True,102,39871.754717375705,5,2,19935.877358687852
0,True,103,42484.820194856424,5,2,21242.410097428212
0,True,104,30971.01403532425,5,2,15485.507017662125
0,True,105,30076.074595211172,5,2,15038.037297605586
0,True,106,45119.75597767897,5,2,22559.877988839486
0,True,107,55511.71955601424,5,2,27755.85977800712
0,True,108,67216.87557022828,5,2,33608.43778511414
0,True,109,63308.26771281594,5,2,31654.13385640797
0,True,110,34405.65036828255,5,2,17202.825184141275
0,True,111,35392.07552089895,5,2,17696.037760449475
0,True,112,33074.852709601946,5,2,16537.426354800973
0,True,113,34385.98793567868,5,2,17192.99396783934
0,True,114,27170.5504525991,5,2,13585.27522629955
0,True,115,19930.239029824665,5,2,9965.119514912332
0,True,116,17699.76574030483,5,2,8849.882870152414
0,True,117,11031.431987507696,5,2,5515.715993753848
0,True,118,16127.671506801857,5,2,8063.835753400928
0,True,119,29348.24382510663,5,2,14674.121912553315
0,True,120,6840.195353871035,5,2,3420.0976769355175
0,True,121,13511.5063535371,5,2,6755.75317676855
0,True,122,25189.65845046994,5,2,12594.82922523497
0,True,123,25924.86097203478,5,2,12962.43048601739
0,True,124,23979.456334829225,5,2,11989.728167414612
0,True,125,19386.12192724216,5,2,9693.06096362108
0,True,126,41795.48714739932,5,2,20897.74357369966
0,True,127,42301.15693413642,5,2,21150.57846706821
0,True,128,39221.573219034435,5,2,19610.786609517218
0,True,129,44914.599803937104,5,2,22457.299901968552
0,True,130,51234.52486976745,5,2,25617.262434883723
0,True,131,30753.38018217146,5,2,15376.69009108573
0,True,132,48307.91406167391,5,2,24153.957030836955
0,True,133,44953.84515112481,5,2,22476.922575562407
0,True,134,44877.94541257148,5,2,22438.97270628574
0,True,135,40719.804694915365,5,2,20359.902347457682
0,True,136,24897.084781128364,5,2,12448.542390564182
0,True,137,42904.78699793887,5,2,21452.393498969435
0,True,138,30724.20202724702,5,2,15362.10101362351
0,True,139,38450.351302588046,5,2,19225.175651294023
0,True,140,13068.411465702808,5,2,6534.205732851404
0,True,141,17249.652945175607,5,2,8624.826472587803
0,True,142,16035.313507252311,5,2,8017.6567536261555
0,True,143,14175.693873545559,5,2,7087.846936772779
0,True,144,21561.14289844448,5,2,10780.57144922224
0,True,145,24446.8229393327,5,2,12223.41146966635
0,True,146,11130.078248730215,5,2,5565.039124365107
0,True,147,11570.526206641645,5,2,5785.263103320823
0,True,148,4607.87754520847,5,2,2303.938772604235
0,True,149,8716.171487415377,5,2,4358.085743707688
0,True,150,-4982.908746173519,5,2,-2491.4543730867595
0,True,151,5923.038561807539,5,2,2961.5192809037694
0,True,152,-7327.170807762611,5,2,-3663.5854038813054
0,True,153,4913.652517439548,5,2,2456.826258719774
0,True,154,11078.509318563354,5,2,5539.254659281677
0,True,155,14048.283505010493,5,2,7024.141752505247
0,True,156,-379.209530173959,5,2,-189.6047650869795
0,True,157,-1860.1934677885663,5,2,-930.0967338942831
0,True,158,5007.982879462528,5,2,2503.991439731264
0,True,159,5597.363629548135,5,2,2798.6818147740673
0,True,160,368.8797624190347,5,2,184.43988120951735
0,True,161,-7126.930003062182,5,2,-3563.465001531091
0,True,162,2910.932554056055,5,2,1455.4662770280274
0,True,163,-5560.735490837668,5,2,-2780.367745418834
0,True,164,-8458.920819673469,5,2,-4229.4604098367345
0,True,165,-2321.1320187726847,5,2,-1160.5660093863423
0,True,166,-11416.174582912994,5,2,-5708.087291456497
0,True,167,-624.3232451110886,5,2,-312.1616225555443
0,True,168,1552.0334405126905,5,2,776.0167202563453
0,True,169,-1726.3261082255917,5,2,-863.1630541127959
0,True,170,-6498.460131776126,5,2,-3249.230065888063
0,True,171,-6368.6396717304715,5,2,-3184.3198358652357
0,True,172,2634.854866342867,5,2,1317.4274331714334
0,True,173,-4855.249584158901,5,2,-2427.6247920794503
0,True,174,-9077.9087485865,5,2,-4538.95437429325
0,True,175,-7237.046966600972,5,2,-3618.523483300486
0,True,176,2205.290773793332,5,2,1102.645386896666
0,True,177,-7727.975318320623,5,2,-3863.9876591603115
0,True,178,-5581.039887488513,5,2,-2790.5199437442566
0,True,179,-5016.5334772977885,5,2,-2508.2667386488943
0,True,180,-8439.016887804595,5,2,-4219.508443902298
0,True,181,-10686.621148309896,5,2,-5343.310574154948
0,True,182,-13052.397262520848,5,2,-6526.198631260424
0,True,183,-17404.52850205973,5,2,-8702.264251029865
0,True,184,-5359.698724657963,5,2,-2679.8493623289814
0,True,185,-1004.1420937505799,5,2,-502.07104687528994
0,True,186,-5371.250537666985,5,2,-2685.6252688334926
0,True,187,-3851.871912600233,5,2,-1925.9359563001165
0,True,188,5840.974784233893,5,2,2920.4873921169465
0,True,189,-488.60759431554084,5,2,-244.30379715777042
0,True,190,195.11445938961833,5,2,97.55722969480917
0,True,191,16588.483465193993,5,2,8294.241732596996
0,True,192,7333.3253812638395,5,2,3666.6626906319198
0,True,193,2794.0528286585654,5,2,1397.0264143292827
0,True,194,15067.551482822731,5,2,7533.775741411366
0,True,195,4990.1285869664935,5,2,2495.0642934832467
0,True,196,17476.666099320442,5,2,8738.333049660221
0,True,197,30341.15742074049,5,2,15170.578710370244
0,True,198,40221.368865800316,5,2,20110.684432900158
0,True,199,30355.159717593055,5,2,15177.579858796527
0,True,200,40588.198790918046,5,2,20294.099395459023
0,True,201,43403.113044551064,5,2,21701.556522275532
0,True,202,41765.60882844586,5,2,20882.80441422293
0,True,203,35197.39963464992,5,2,17598.69981732496
0,True,204,46188.36423196716,5,2,23094.18211598358
0,True,205,31694.871398109182,5,2,15847.435699054591
0,True,206,22565.93881508455,5,2,11282.969407542276
0,True,207,39547.24338927658,5,2,19773.62169463829
0,True,208,28491.205183258204,5,2,14245.602591629102
0,True,209,42366.841767177204,5,2,21183.420883588602
0,True,210,37704.17791392732,5,2,18852.08895696366
0,True,211,27971.41171931407,5,2,13985.705859657035
0,True,212,14194.543145073261,5,2,7097.271572536631
0,True,213,12977.562540977808,5,2,6488.781270488904
0,True,214,17958.24252315043,5,2,8979.121261575216
0,True,215,25676.670795004065,5,2,12838.335397502033
0,True,216,37072.29721630223,5,2,18536.148608151114
0,True,217,65789.25617479223,5,2,32894.628087396115
0,True,218,73040.98415950012,5,2,36520.49207975006
0,True,219,54690.613290106616,5,2,27345.306645053308
0,True,220,67272.93851690154,5,2,33636.46925845077
0,True,221,70222.04497719216,5,2,35111.02248859608
0,True,222,60756.17570918192,5,2,30378.08785459096
0,True,223,61685.715492472074,5,2,30842.857746236037
0,True,224,54758.90420340216,5,2,27379.45210170108
0,True,225,52628.35013851689,5,2,26314.175069258446
0,True,226,64643.87881535348,5,2,32321.93940767674
0,True,227,60611.94968061856,5,2,30305.97484030928
0,True,228,69851.38357797572,5,2,34925.69178898786
0,True,229,55033.579439717854,5,2,27516.789719858927
0,True,230,31838.596754874874,5,2,15919.298377437437
0,True,231,27035.495232192614,5,2,13517.747616096307
0,True,232,13367.655641194193,5,2,6683.827820597096
0,True,233,14478.445858051087,5,2,7239.222929025544
0,True,234,7820.625324119551,5,2,3910.3126620597754
0,True,235,17479.96338496383,5,2,8739.981692481915
0,True,236,10305.880057539232,5,2,5152.940028769616
0,True,237,10393.378283082682,5,2,5196.689141541341
0,True,238,-124.33236216036997,5,2,-62.166181080184984
0,True,239,-7153.615060856435,5,2,-3576.8075304282174
0,True,240,-18220.47571724707,5,2,-9110.237858623535
0,True,241,8732.992169272746,5,2,4366.496084636373
0,True,242,4267.916184631611,5,2,2133.9580923158055
0,True,243,11399.620155426435,5,2,5699.810077713218
0,True,244,5870.68043360956,5,2,2935.34021680478
0,True,245,6000.179666218456,5,2,3000.089833109228
0,True,246,-2639.822089785361,5,2,-1319.9110448926806
0,True,247,-7691.812516304721,5,2,-3845.9062581523604
0,True,248,6275.986728402587,5,2,3137.9933642012934
0,True,249,-8495.895313385008,5,2,-4247.947656692504
0,True,250,-3738.0272694041523,5,2,-1869.0136347020762
0,True,251,-5082.384771535821,5,2,-2541.1923857679103
0,True,252,2671.8144803192263,5,2,1335.9072401596131
0,True,253,-1614.3311191130226,5,2,-807.1655595565113
0,True,254,1916.7667363472133,5,2,958.3833681736066
0,True,255,-102.67792526471797,5,2,-51.338962632358985
0,True,256,4029.845301963665,5,2,2014.9226509818325
0,True,257,-671.3183794381015,5,2,-335.65918971905074
0,True,258,-3154.3091008511356,5,2,-1577.1545504255678
0,True,259,-732.5795123488228,5,2,-366.2897561744114
0,True,260,4753.928713847877,5,2,2376.9643569239383
0,True,261,4032.080511465716,5,2,2016.040255732858
0,True,262,-863.075658297793,5,2,-431.5378291488965
0,True,263,9048.90413465359,5,2,4524.452067326795
0,True,264,18800.96951436646,5,2,9400.48475718323
0,True,265,12076.535265677252,5,2,6038.267632838626
0,True,266,4456.445950728699,5,2,2228.2229753643496
0,True,267,23388.791292863414,5,2,11694.395646431707
0,True,268,19075.955939778447,5,2,9537.977969889223
0,True,269,19667.4965899425,5,2,9833.74829497125
0,True,270,17103.81536646598,5,2,8551.90768323299
0,True,271,23088.20171390328,5,2,11544.10085695164
0,True,272,30527.418516595477,5,2,15263.709258297738
0,True,273,29971.137470121193,5,2,14985.568735060597
0,True,274,27550.962494201696,5,2,13775.481247100848
0,True,275,13244.358862901363,5,2,6622.1794314506815
0,True,276,28135.752585812148,5,2,14067.876292906074
0,True,277,38991.99871503831,5,2,19495.999357519155
