Power_Plant_ID,plant_name,fuel_type,capacity,capacity_factor_2025
Wind_57802,Magic Valley Wind Farm I LLC,Wind,203.0,0.2716
Wind_57983,Stephens Ranch Wind Energy LLC,Wind,376.0,0.2722
Natural Gas_58001,Temple Power Station,Natural Gas,1606.4,0.5435
Natural Gas_58005,Rayburn Energy Station LLC,Natural Gas,803.2,0.4554
Natural Gas_58151,Central Utility Plant - Texas A&M,Natural Gas,45.1,0.3386
Wind_58242,Pattern Panhandle Wind LLC,Wind,218.0,0.2879
Wind_58596,"Grandview Wind Farm, LLC",Wind,211.2,0.4227
Wind_58614,Patriot Wind Farm,Wind,226.1,0.3378
Wind_58765,Miami Wind Energy Center,Wind,288.6,0.2715
Wind_58772,Longhorn Wind,Wind,200.0,0.3978
Wind_58773,TX Hereford Wind,Wind,200.0,0.3004
Other_58870,Rentech Nitrogen Pasadena Cogeneration,Other,15.4,0.5369
Wind_59034,Shannon Wind,Wind,204.0,0.2487
Wind_59063,Stella Wind Farm,Wind,201.0,0.3343
Wind_59066,Bruennings Breeze Wind Farm,Wind,228.0,0.2628
Wind_59068,"Colbeck's Corner, LLC",Wind,200.0,0.45
Solar_59206,Alamo 6,Solar,105.0,0.246
Wind_59245,Fluvanna,Wind,155.4,0.3886
Wind_59246,Goodnight,Wind,265.5,0.3111
Wind_59320,Los Vientos Windpower III,Wind,200.0,0.2555
Wind_59321,Los Vientos Windpower IV,Wind,200.0,0.2409
Wind_59332,Mesquite Creek Wind,Wind,211.2,0.2605
Wind_59384,South Plains Wind Phase I,Wind,200.0,0.3864
Natural Gas_59391,Red Gate Power Plant,Natural Gas,224.39999999999998,0.1862
Wind_59442,Logans Gap Wind LLC,Wind,200.1,0.3446
Wind_59621,TX Jumbo Road Wind,Wind,299.7,0.2485
Wind_59712,"San Roman Wind I, LLC",Wind,95.3,0.3063
Natural Gas_59812,Wolf Hollow II,Natural Gas,1231.2,0.5042
Wind_59943,Rattlesnake Den,Wind,207.2,0.3798
Wind_59972,Bearkat,Wind,196.7,0.3762
Solar_59994,RE Roserock,Solar,160.0,0.2697
Solar_60044,Buckthorn Westex,Solar,154.0,0.2643
Wind_60087,South Plains II,Wind,300.0,0.3825
Wind_60104,"Javelina Wind Energy, LLC",Wind,249.7,0.423
Natural Gas_60122,Colorado Bend II,Natural Gas,1230.3,0.5634
Other_60123,Castle Gap Solar Hybrid,Other,189.9,0.231
Solar_60123,Castle Gap Solar Hybrid,Solar,189.9,0.231
Wind_60210,Cotton Plains Wind Farm,Wind,50.4,0.412
Wind_60217,Rocksprings,Wind,149.3,0.3755
Natural Gas_60264,Bacliff,Natural Gas,427.20000000000005,0.0275
Wind_60271,"Canyon Wind Project, LLC",Wind,308.8,0.4045
Wind_60366,Old Settler Wind,Wind,151.2,0.411
Solar_60372,Lamesa Solar,Solar,102.0,0.2499
Solar_60436,East Pecos Solar,Solar,118.5,0.2114
Wind_60502,"Tyler Bluff Wind Project, LLC",Wind,125.6,0.3019
Solar_60581,Upton County Solar,Solar,150.0,0.2277
Wind_60657,"Salt Fork Wind Project, LLC",Wind,174.0,0.4458
Solar_60682,Pearl Solar,Solar,50.0,0.2223
Wind_60743,"Rattlesnake Power, LLC",Wind,160.0,0.4145
Solar_60789,Bluebell Solar,Solar,30.0,0.2731
Wind_60856,Astra Wind Farm,Wind,163.0,0.3714
Wind_60901,Willow Springs Wind Farm,Wind,250.0,0.3975
Wind_60902,Dermott Wind,Wind,253.0,0.3937
Wind_60983,Buckthorn Wind,Wind,100.5,0.4084
Wind_60987,Santa Rita Wind Energy,Wind,300.0,0.4433
Solar_60989,SolaireHolman Solar Project,Solar,50.0,0.242
Wind_61001,Cactus Flats Wind Energy Project,Wind,148.4,0.3378
Wind_61032,Heart of Texas Wind Project,Wind,180.0,0.4073
Wind_61212,Flat Top Wind I,Wind,200.0,0.449
Wind_61343,Karankawa Wind LLC,Wind,307.1,0.3065
Solar_61346,RE Maplewood,Solar,250.0,0.2404
Solar_61368,Midway Solar - TX,Solar,182.0,0.2085
Wind_61402,Foard City Wind,Wind,352.8,0.3683
Wind_61417,Gopher Creek Wind Farm,Wind,158.0,0.4275
Natural Gas_61643,Denton Energy Center,Natural Gas,225.60000000000002,0.1461
Solar_61697,Lamesa II,Solar,50.0,0.2756
Wind_61773,"Palmas Wind, LLC",Wind,144.9,0.2856
Wind_61776,"Midway Wind, LLC",Wind,162.9,0.2829
Wind_61782,Live Oak Wind Project,Wind,199.5,0.453
Wind_61865,"Rio Bravo Windpower, LLC",Wind,237.6,0.3134
Solar_61906,Phoebe Solar,Solar,250.0,0.2545
Solar_61920,Galloway 1 Solar Farm,Solar,250.0,0.252
Wind_61921,Tahoka Wind,Wind,300.0,0.4405
Solar_61962,Holstein 1 Solar Farm,Solar,200.0,0.1637
Solar_61967,Norton Solar Farm,Solar,125.0,0.0547
Wind_61969,"Torrecillas Wind Energy, LLC",Wind,300.0,0.4188
Wind_61970,Blue Summit II Wind,Wind,99.4,0.3984
Wind_62038,Santa Rita East,Wind,302.4,0.4665
Solar_62141,Rambler,Solar,200.0,0.2151
Wind_62142,Amadeus Wind Farm,Wind,250.0,0.3272
Wind_62207,Reloj del Sol Wind Farm,Wind,209.4,0.3229
Wind_62227,"Seymour Hills Wind Project, LLC",Wind,30.2,0.4509
Solar_62249,Misae Solar,Solar,240.0,0.1945
Wind_62258,Mesteno,Wind,201.6,0.3453
Wind_62259,Ranchero Wind Farm LLC,Wind,300.0,0.4372
Wind_62356,Lockett Windfarm,Wind,183.8,0.4411
Wind_62411,Griffin Trail Wind,Wind,225.6,0.3525
Solar_62415,West of the Pecos Solar,Solar,100.0,0.2794
Wind_62416,Cranell Wind Farm LLC,Wind,220.0,0.2861
Wind_62417,Peyton Creek Wind Farm LLC,Wind,151.2,0.2402
Solar_62448,Lapetus,Solar,100.0,0.2525
Solar_62483,Taygete Energy Project LLC,Solar,255.0,0.2451
Solar_62505,G.S.E. One LLC,Solar,83.0,0.2198
Other_62561,"Roadrunner, LLC Hybrid",Other,463.3,0.2662
Solar_62561,"Roadrunner, LLC Hybrid",Solar,463.3,0.2662
