seed,warm_start_q,episode,cumulative_reward,freeze_k,n_agents
0,True,0,218538.00419415996,5,2
0,True,1,319154.2540466649,5,2
0,True,2,444009.8531522049,5,2
0,True,3,399582.53579890716,5,2
0,True,4,360323.3871472286,5,2
0,True,5,486377.17205631884,5,2
0,True,6,684164.6184976774,5,2
0,True,7,732227.230611762,5,2
0,True,8,723622.5694419352,5,2
0,True,9,793650.8818673764,5,2
