agent,total_reward,mean_reward,std_reward,clip_rate,action_entropy,greedy_entropy,mean_bid_price,mean_bid_qty_mw
0,71426.37645624367,213.21306404848855,417.14772944453927,0.00013432835820895522,0.713238,0.7128505000000002,38.09252902052239,19.134141791044776
1,132782.15141098137,396.3646310775563,687.9110303397101,0.00011940298507462687,0.6732035,0.6728115,20.121143526119404,24.978078358208954
2,137086.49751171446,409.21342540810275,737.0504191579504,0.00022388059701492535,0.710137,0.7097235000000001,35.095027378731345,27.830597014925374
3,122004.96549591763,364.19392685348544,769.3942367055392,0.00011940298507462687,0.6610720000000001,0.660767,39.20006738805969,20.304664179104478
4,91975.24457633849,274.55296888459253,493.5913273585272,5.9701492537313435e-05,0.6728219999999999,0.672546,33.89001342350746,20.921641791044777
5,98225.05192704148,293.20911022997456,574.4863392157621,0.00011940298507462687,0.6549575,0.6546995,27.69259516791045,23.188992537313435
6,111982.8674592802,334.27721629635874,591.0464277494057,0.00013432835820895522,0.695827,0.6955145,37.62270786380597,27.37919776119403
7,165615.19179967328,494.37370686469643,1010.3813806735999,0.0,0.0,,33.685,46.875
8,102303.46359690439,305.38347342359515,664.848419143872,0.14925373134328357,0.4313820000000001,,69.86349981343285,41.27798507462687
