episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_RL_Agent_3_total_reward,agent_RL_Agent_3_mean_reward,agent_RL_Agent_3_std_reward,agent_RL_Agent_3_clip_rate,agent_RL_Agent_3_action_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_3_mean_bid_price,agent_RL_Agent_3_mean_bid_qty_mw,agent_RL_Agent_4_total_reward,agent_RL_Agent_4_mean_reward,agent_RL_Agent_4_std_reward,agent_RL_Agent_4_clip_rate,agent_RL_Agent_4_action_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_4_mean_bid_price,agent_RL_Agent_4_mean_bid_qty_mw,agent_RL_Agent_5_total_reward,agent_RL_Agent_5_mean_reward,agent_RL_Agent_5_std_reward,agent_RL_Agent_5_clip_rate,agent_RL_Agent_5_action_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_5_mean_bid_price,agent_RL_Agent_5_mean_bid_qty_mw,agent_RL_Agent_6_total_reward,agent_RL_Agent_6_mean_reward,agent_RL_Agent_6_std_reward,agent_RL_Agent_6_clip_rate,agent_RL_Agent_6_action_entropy,agent_RL_Agent_6_greedy_entropy,agent_RL_Agent_6_mean_bid_price,agent_RL_Agent_6_mean_bid_qty_mw,agent_Cost Plus Markup Baseline Agent_total_reward,agent_Cost Plus Markup Baseline Agent_mean_reward,agent_Cost Plus Markup Baseline Agent_std_reward,agent_Cost Plus Markup Baseline Agent_clip_rate,agent_Cost Plus Markup Baseline Agent_action_entropy,agent_Cost Plus Markup Baseline Agent_mean_bid_price,agent_Cost Plus Markup Baseline Agent_mean_bid_qty_mw,agent_Quantile Baseline Agent_total_reward,agent_Quantile Baseline Agent_mean_reward,agent_Quantile Baseline Agent_std_reward,agent_Quantile Baseline Agent_clip_rate,agent_Quantile Baseline Agent_action_entropy,agent_Quantile Baseline Agent_mean_bid_price,agent_Quantile Baseline Agent_mean_bid_qty_mw
10,335,35.81694285810099,26.849852348430588,-3.4599427393536075,185.02999593177614,57000.1223880597,0.6338178144621178,93003.48893159386,277.6223550196832,588.5188893429,0.0,0.7256,0.7256,49.56048507462687,19.07649253731343,149156.0174891168,445.24184325109496,644.2828228806749,0.0,0.7028,0.7028,23.256669776119402,22.882462686567163,207849.956835202,620.4476323438865,962.661240205893,0.0,0.7018,0.7018,39.500938432835824,30.345149253731343,203405.83107791358,607.1815853072047,1153.7487604236976,0.0,0.7058,0.7058,35.787537313432836,23.274253731343283,152727.20171865626,455.90209468255597,782.5184194881109,0.0,0.6819,0.6819,38.33205037313433,21.800373134328357,120545.27619360118,359.83664535403335,618.9960747419393,0.0,0.6681,0.6681,27.31115298507462,22.845149253731343,111690.3216280457,333.4039451583454,520.7014372238099,0.0,0.7228,0.7228,39.306162313432836,22.957089552238806,268140.61532027903,800.4197472247135,1307.401378593732,0.0,-0.0,33.685,46.875,237933.7718898895,710.2500653429537,1249.4457489657614,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
11,335,35.62639745415269,26.75910009096971,-5.594626070102974,186.72824117846022,56623.85970149254,0.635890276955794,93983.27584712514,280.5470920809706,577.1704745938275,0.0,0.7332,0.7332,45.53332276119403,18.92723880597015,152222.2409618409,454.3947491398236,643.7162246072753,0.0,0.7063,0.7063,22.6020895522388,23.16231343283582,203497.51861251658,607.455279440348,963.4025639108903,0.0,0.7068,0.7068,40.37522574626866,30.083955223880597,193410.48529240445,577.3447322161327,1147.7040067337905,0.0,0.7098,0.7098,36.856736940298504,22.229477611940297,151836.22479056905,453.24246206140015,778.7276023323066,0.0,0.6814,0.6814,38.807173507462686,21.371268656716417,119207.55947621852,355.84346112304036,613.3014629171283,0.0,0.672,0.672,27.209690298507464,22.71455223880597,114696.60384973828,342.37792193951725,522.9673450027493,0.0,0.7188,0.7188,37.41339925373134,24.263059701492537,262985.5106958529,785.0313752115013,1305.301195945446,0.0,-0.0,33.685,46.875,226448.0489482671,675.9643252187077,1249.0582720677687,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
12,335,35.72199649721259,26.55433285663184,-4.450894188885382,179.71809959267244,56549.149253731346,0.6352850149338142,98943.42896488323,295.3535192981589,580.0720392396044,0.0,0.7351,0.7351,46.313876865671645,19.188432835820894,153184.62277004574,457.26753065685295,648.9621775980538,0.0,0.7116,0.7116,22.60383768656716,23.46082089552239,201240.2442230814,600.7171469345714,947.4208895026547,0.0,0.7132,0.7132,40.35107089552238,29.31902985074627,189924.26216551362,566.9380960164585,1133.3630804558609,0.0,0.712,0.712,37.97365671641791,21.89365671641791,146783.76780584652,438.1605009129747,765.5957193654981,0.0,0.6856,0.6856,38.63922574626866,20.811567164179106,127646.52363416963,381.03439890796903,618.1038429077383,0.0,0.6762,0.6762,27.224893656716418,22.546641791044777,123319.11210993791,368.11675256697885,532.4367480907135,0.0,0.728,0.728,35.8125223880597,24.300373134328357,266940.6166504267,796.8376616430647,1293.8460947124508,0.0,-0.0,33.685,46.875,229232.53045852238,684.2762103239475,1243.674110533573,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
13,335,35.581535986454924,26.406986935853137,-5.69,179.85187354676148,56243.844776119404,0.6358251251885371,95357.77615827469,284.6500780844021,590.0408188198186,0.0,0.7371,0.7371,42.9338171641791,19.03917910447761,156819.0257751352,468.11649485114987,648.8894644266073,0.0,0.7174,0.7174,22.296897388059698,23.722014925373134,199891.02527154877,596.689627676265,938.4885089484977,0.0,0.7143,0.7143,40.76603731343284,29.020522388059703,184970.5299579328,552.1508356953218,1127.4108298990507,0.0,0.7134,0.7134,40.43631716417911,21.613805970149254,141354.48984800608,421.95370103882414,761.0082930395018,0.0,0.6843,0.6843,37.738065298507465,20.58768656716418,123475.39922197495,368.5832812596267,618.6456146530176,0.0,0.6807,0.6807,27.365860074626866,22.65858208955224,126937.80227091468,378.918812748999,538.3540932890346,0.0,0.7314,0.7314,34.1644421641791,25.23320895522388,259707.72044428048,775.2469266993447,1293.6836035459494,0.0,-0.0,33.685,46.875,226457.83401741774,675.9935343803514,1237.4552361034673,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
14,335,35.46299587999232,26.446757730172337,-5.69,180.6344189416718,55934.429850746266,0.637557491589605,97753.50486857696,291.801507070379,585.3596623275308,0.0,0.7366,0.7366,43.92921082089553,18.88992537313433,157762.59884419641,470.93313087819826,646.2905685744577,0.0,0.7216,0.7216,22.25336567164179,24.31902985074627,191499.53247720332,571.6403954543383,951.9714634389547,0.0,0.7155,0.7155,39.912733208955224,28.61007462686567,181198.2345452977,540.8902523740229,1128.8219048876945,0.0,0.7189,0.7189,40.487216417910446,21.557835820895523,143977.73266319762,429.78427660656007,760.3792375163074,0.0,0.6859,0.6859,37.01522947761194,20.625,119676.87810302067,357.2444122478229,623.387651048607,0.0,0.6815,0.6815,27.404955223880595,22.975746268656717,128330.38928224499,383.07578890222385,538.3136321704606,0.0,0.7377,0.7377,34.41048880597015,25.270522388059703,260556.86499042113,777.7816865385705,1292.3615977187576,0.0,-0.0,33.685,46.875,228499.34039134288,682.0875832577399,1237.8099092576015,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
15,335,34.9593487493654,26.49864956183539,-3.7511465669715944,184.30774724728212,55549.77611940299,0.6420417718421926,96596.9631256597,288.3491436586857,577.8209351805763,0.0,0.7348,0.7348,46.829630597014926,19.132462686567163,152599.4746578329,455.5208198741281,644.2720450593272,0.0,0.7239,0.7239,22.19061940298507,24.84141791044776,190273.04378390894,567.9792351758476,946.7118856275987,0.0,0.7164,0.7164,40.241636194029844,28.55410447761194,183143.3818149218,546.6966621340949,1124.7329072553828,0.0,0.7171,0.7171,42.10149813432836,22.229477611940297,137856.99479331492,411.5134172934774,762.0265242302422,0.0,0.6936,0.6936,35.979570895522386,20.774253731343283,116551.24821739542,347.9141737832699,624.00289342828,0.0,0.6838,0.6838,27.198804104477617,22.975746268656717,117100.06173429952,349.55242308746125,548.3366248104549,0.0,0.7444,0.7444,34.83510634328359,24.990671641791046,254318.608616826,759.1600257218687,1293.3889108752855,0.0,-0.0,33.685,46.875,211830.6033382839,632.3301592187579,1240.4225428371642,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
16,335,34.32358499203668,26.691582361957977,-4.2498932680102035,184.56932334963494,55254.525373134325,0.6465518347021358,90749.14588446487,270.89297278944736,564.5677559980742,0.0,0.7285,0.7285,45.270067164179096,18.684701492537314,150561.48941478023,449.43728183516487,649.921073983407,0.0,0.7269,0.7269,21.780352611940298,25.15858208955224,179526.7379915225,535.9007104224552,954.0218543522392,0.0,0.7122,0.7122,36.909824626865664,28.57276119402985,174708.15910733148,521.5168928577059,1134.5796786134301,0.0,0.7064,0.7064,44.779186567164174,21.46455223880597,137773.17244457355,411.2632013270852,760.6199657089202,0.0,0.6955,0.6955,36.35423507462687,21.09141791044776,114505.14931983902,341.8064158801165,616.3613393713449,0.0,0.6842,0.6842,27.19449067164179,23.21828358208955,108127.2619206003,322.7679460316427,518.2555101236975,0.0,0.7358,0.7358,36.17992350746269,25.830223880597014,240192.6384803683,716.9929506876666,1299.181560073669,0.0,-0.0,33.685,46.875,211272.54052738514,630.6643000817467,1246.6794347931495,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
17,335,35.30681369552383,26.457184892688378,-3.7932378327108376,185.18967644898004,55149.03582089552,0.6404885654114355,98889.89819758364,295.19372596293624,601.7397114013146,0.0,0.7287,0.7287,47.120291044776124,18.759328358208954,154939.77955666534,462.5068046467622,645.7270544066789,0.0,0.7241,0.7241,21.636598880597017,25.083955223880597,192067.20377623948,573.334936645491,952.839032021919,0.0,0.7104,0.7104,37.73710820895523,28.125,176724.11439580715,527.5346698382303,1143.7802259812372,0.0,0.7094,0.7094,46.647875,21.184701492537314,141948.34271973005,423.72639617829867,767.3329996025093,0.0,0.6953,0.6953,33.121917910447756,21.38992537313433,121110.24426068319,361.5231171960692,623.5243941298208,0.0,0.6832,0.6832,27.08687873134328,23.21828358208955,119370.12945188412,356.32874463248993,522.3226669454156,0.0,0.7369,0.7369,35.47486007462687,25.792910447761194,248114.79156481946,740.6411688502074,1304.317792067884,0.0,-0.0,33.685,46.875,220480.22917606152,658.1499378389896,1247.872514915241,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
18,335,35.54062741076682,26.71988729406641,-4.692230893379267,187.93620384576667,54105.33432835821,0.6382071744422058,98178.79422590318,293.0710275400095,581.5402107250087,0.0,0.7228,0.7228,47.37656343283582,18.59141791044776,157432.1495159827,469.94671497308263,643.5668202454211,0.0,0.7179,0.7179,21.690072761194028,24.692164179104477,192135.65279657696,573.5392620793342,966.106502090838,0.0,0.7056,0.7056,39.02057276119404,28.367537313432837,178672.08230291415,533.3494994116841,1146.1055670264425,0.0,0.712,0.712,47.63057462686567,21.222014925373134,143220.10021367786,427.52268720500854,773.7975605705749,0.0,0.6917,0.6917,31.639757462686564,21.48320895522388,118545.31453457975,353.8666105509843,614.298665867805,0.0,0.6802,0.6802,27.358572761194026,22.957089552238806,124833.07740367782,372.63605195127707,526.5936417409212,0.0,0.7382,0.7382,34.845494402985075,25.32649253731343,262070.1918844232,782.2990802520095,1308.6603741045933,0.0,-0.0,33.685,46.875,213762.38379452666,638.0966680433631,1258.3420269833891,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
19,335,32.76590909940241,26.165168872183056,-2.290733361871407,186.71687122561184,52476.289552238806,0.6594964483406525,78656.09266427449,234.79430646052086,547.7389648458047,0.0,0.7206,0.7206,47.59213246268657,18.628731343283583,141568.96594717563,422.59392820052426,632.1274527538897,0.0,0.7133,0.7133,21.48655597014925,24.84141791044776,168992.60027267158,504.4555232020047,949.0069794221331,0.0,0.7084,0.7084,38.11586567164179,28.55410447761194,163827.39670871414,489.0370051006392,1131.3301452517649,0.0,0.7075,0.7075,47.20832835820896,21.296641791044777,127563.66093392333,380.78704756395024,754.9275913519534,0.0,0.6896,0.6896,29.965759328358203,21.744402985074625,98328.12442004523,293.51678931356787,595.8990324215916,0.0,0.6809,0.6809,27.244589552238796,23.125,103462.80111966451,308.8441824467597,485.76816721091603,0.0,0.7413,0.7413,36.25168097014925,25.66231343283582,218511.58531551075,652.2733890015246,1266.7871762376024,0.0,-0.0,33.685,46.875,178332.28540213683,532.3351803048861,1219.3627090129362,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
