episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_action_entropy,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_action_entropy
0,335,26.764370783587587,14.254466332403508,-4.21738048256679,72.8458878680002,54581.564179104476,0.6932427476839541,85467.67373125542,255.12738427240424,355.95549019562134,0.03582089552238806,3.194030096702181,68374.23378377405,204.1021903993255,372.31549329027587,0.023880597014925373,3.3793306939514314
1,335,27.820422138106466,14.193778058340074,-5.69,73.5905054828358,54882.692537313436,0.6855613616332983,94029.15200397321,280.68403583275585,342.7022557605876,0.0,2.8883818874687863,76848.31794279376,229.39796400833959,396.7826935922172,0.0,3.1416335344356843
2,335,27.526306155814034,14.690565830279013,-5.69,73.56017820516614,55185.385074626865,0.686468256367996,92670.44779613242,276.62820237651465,344.21573435034117,0.0,2.9000268599646137,75375.7341306842,225.0021914348782,403.3129859165854,0.0,3.137679662592227
3,335,27.911076534599886,14.593653275260019,-5.69,78.96137423956198,55438.3223880597,0.6845473979059071,93559.91950236619,279.28334179810804,355.129050707333,0.0,2.8674845309149237,77999.35827129264,232.83390528744073,406.2038833712248,0.0,3.125584053094281
4,335,28.485444808960914,13.663598407431444,-5.6297635839525615,72.759418794044,56408.05373134329,0.682091989378241,93161.97271221988,278.09544093199963,346.1898382681738,0.0,2.890219522586534,77330.03036319657,230.83591153193004,398.887400139557,0.0,3.122196474875542
5,335,30.08948111785986,14.779477917317069,-3.145020341103448,92.67938862800445,57018.068656716416,0.6693208983480198,110814.31005677623,330.7889852441082,408.21409835917206,0.0,2.8868689410101434,85987.52174746804,256.679169395427,414.0248090078507,0.0,3.1134525074814148
6,335,32.39689905017735,17.509886139838528,-5.69,119.16978446323873,57611.14029850746,0.6499093311952786,126800.33528543802,378.50846353862096,495.7119613790578,0.0,2.8996402620000086,94148.88097554322,281.0414357478902,427.0875324981146,0.0,3.141135135397001
7,335,36.82467424141708,26.896855424456746,-5.6588048951343985,173.4806406649813,58055.62985074627,0.6249065839981742,172335.1806692926,514.4333751322167,799.4023213184026,0.0,2.916816117395044,97721.62256560073,291.7063360167186,434.36253503726056,0.0,3.1904951301169824
8,335,36.46942086913985,27.140503211317387,-5.1454319103523485,179.68495066769177,57860.03283582089,0.6283611495021546,174871.6495151798,522.0049239259099,813.4979800785791,0.0,2.9036330424170296,85722.69093796368,255.88862966556323,407.75083563856793,0.0,3.173461033455251
9,335,36.33369751133578,26.702990553777383,-5.69,181.99685569119828,57444.7671641791,0.6278190556284651,175345.5637079643,523.4195931581023,787.818046667204,0.0,2.8931344829377563,87834.71258596686,262.19317189840854,399.79987300644456,0.0,3.140013524318596
10,335,36.02462708769527,26.869696998174184,-5.69,185.69693669637354,57000.1223880597,0.6323798046918645,171813.39497163816,512.875805885487,806.965300233737,0.0,2.858232169980335,81640.24926281408,243.70223660541515,384.32392391798714,0.0,3.1388992054563674
11,335,35.72627368763369,26.987735874898434,-5.69,184.11124695804034,56623.85970149254,0.6354478480378265,168683.85523222815,503.53389621560643,809.085677210637,0.0,2.878550019363065,81368.14633073212,242.88998904696157,383.352694762731,0.0,3.1479075880752596
12,335,35.6163710216242,26.587110911910518,-5.69,184.55608884558765,56549.149253731346,0.6355471586860919,170809.76126846118,509.8798843834662,792.2746399883617,0.0,2.8871450600920774,82330.48718036502,245.76264829959706,375.66945943654423,0.0,3.1556702627529343
13,335,35.51075604661364,26.431216842470683,-5.69,190.988354494284,56243.844776119404,0.6371900715669893,164004.669129164,489.56617650496713,794.1056270598567,0.0,2.88286542899371,82594.7486096592,246.5514883870424,363.9210519792519,0.0,3.176181564634035
14,335,35.80494366460877,26.42362488110631,-0.7170413734670864,173.93430710546295,55934.429850746266,0.6354138646380914,165323.1221770225,493.50185724484334,793.7779711764962,0.0,2.877406072050838,87480.17338884907,261.1348459368629,386.5639293169615,0.0,3.1915254023462136
15,335,35.215144941666104,26.686482761723212,-0.8736345340023703,181.6333891499043,55549.77611940299,0.6401853760398272,160289.3802513969,478.4757619444684,806.6156258414906,0.0,2.889795809742911,89288.42457409459,266.53261066893907,384.888117963935,0.0,3.2146396654299063
16,335,34.64825257397596,26.26439496382905,-4.602633422987288,177.14006266813357,55254.525373134325,0.6444903096381286,155875.2786864001,465.29933936238837,789.9175182793922,0.0,2.871983939532596,83595.06484902505,249.53750701201506,351.30573154661704,0.0,3.202258712933389
17,335,35.09273758214484,26.272470232946542,-5.69,175.69928667957194,55149.03582089552,0.6412706894095694,160227.6026030149,478.2913510537758,790.462063780711,0.0,2.8693591756822507,87073.32069895742,259.9203602953953,356.3898773084013,0.0,3.2019025436039437
18,335,35.366352965321425,26.151356024042656,-3.096876565425025,191.54513459971463,54105.33432835821,0.639853693309868,162332.99703655133,484.57611055686965,797.110710320674,0.0,2.8711295050276244,86982.21335428985,259.648398072507,355.6179357688584,0.0,3.18775751750636
19,335,32.67777853855952,25.945770992351683,-3.1660665315360514,174.8088254458996,52476.289552238806,0.6599958258876927,140077.32468420535,418.1412677140458,769.1540082702721,0.0,2.8408779121097676,77821.54396461195,232.30311631227448,351.1891794108639,0.0,3.183280382919998
