agent,total_reward,mean_reward,std_reward,clip_rate,action_entropy,mean_alpha,final_alpha,mean_bid_price,mean_bid_qty_mw
0,341152.34107155475,1018.3651972285215,2397.4051674959533,0.04679601990049752,0.7463136666666667,0.0007290866666666666,0.0008476066666666667,42.63000021344475,152.3686567164179
1,423260.5972198661,1263.464469313033,2631.778136358338,8.955223880597014e-05,0.7166766666666666,0.0007107333333333334,0.0008836566666666666,18.591622928078603,190.21990049751244
2,429755.7294134546,1282.8529236222523,2270.0450769799445,0.10939303482587062,0.680485,0.0007274133333333335,0.0008543733333333333,51.50311425589224,209.0412935323383
3,311074.10496821615,928.5794178155707,1899.6440590222878,0.04909452736318407,0.7134726666666666,0.00077579,0.0014271366666666666,33.569384927343286,191.80547263681592
4,386228.6184860454,1152.921249212076,2386.432072329848,0.10548258706467664,0.694067,0.0007292566666666667,0.0009194433333333335,52.22970206566575,197.81741293532338
5,357810.753760443,1068.091802269979,2264.576099976526,0.0531044776119403,0.7251616666666666,0.0007469933333333334,0.0008694566666666666,43.616165039236115,176.42089552238807
6,465056.90156231396,1388.2295569024297,2647.1120392713997,0.005890547263681592,0.7251193333333333,0.0007105533333333334,0.0008640466666666667,27.11667907365345,208.83432835820895
