episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy
37,53816305524.76448,0.7913,44923759142.07364,0.7531,31770906858.61456,0.7224,13106293229.505188,0.7576,26633143348.12116,0.7437,33222831309.02771,0.7423,20050017636.931618,0.7621
38,88702563398.71701,0.7938,74535055699.07298,0.7536,48984694531.71819,0.7318,19305577047.801445,0.7602,43082559769.812454,0.7461,51299102556.078705,0.7465,31334350920.793083,0.7638
39,116149277094.44925,0.7853,98018124676.36607,0.7432,62546711671.072334,0.7208,23085665097.686428,0.7588,55425459885.64629,0.7407,65798111079.42321,0.7416,40367297039.27294,0.757
40,136165569400.15778,0.7853,114328126418.66055,0.7431,70365088185.63693,0.7171,25049453228.58244,0.7575,63192799567.02485,0.7401,73931549232.90007,0.7424,45808837316.97704,0.7572
41,148559893978.33615,0.7854,124023398358.84142,0.7487,72809787064.71274,0.7176,26207774765.233025,0.7573,67364617497.16671,0.7381,77080545552.63425,0.7414,48346297613.68474,0.7567
42,150980496827.5971,0.7827,125244770542.34375,0.7473,69742532778.15475,0.7159,26015372554.37591,0.7532,67487846253.906,0.7375,75810949391.0629,0.7407,47191680520.67595,0.7541
43,146620455726.87643,0.7902,121806861821.4787,0.7555,64677884370.753525,0.7281,25384723360.027718,0.7556,66069157639.80375,0.7431,72536789252.42105,0.7444,45158644550.23697,0.7581
44,135924793518.40956,0.7863,112884606012.1898,0.751,58071837719.51352,0.7243,23530251773.884373,0.7559,61994899429.24023,0.7431,65986191468.34082,0.7439,42018020196.796005,0.7551
45,119881916864.5441,0.7803,99256273120.30194,0.7442,49884172213.96364,0.7202,20612089454.558193,0.7493,55400953756.57376,0.7402,56583479629.7284,0.7414,37318585508.24546,0.7512
46,98550139581.26805,0.7825,81642918086.69238,0.7522,40355937680.265396,0.7231,17051602092.486488,0.752,46488109469.10599,0.7383,45303158436.66843,0.742,30953310726.9665,0.7556
47,71917525833.5839,0.7841,59737490347.914314,0.7558,28594213554.760727,0.7279,12181206912.114595,0.7521,34179602718.740578,0.7362,32174993924.841885,0.7433,22815822221.720383,0.7562
48,38763888241.812706,0.7847,32805578464.15283,0.7546,13417195705.935,0.7287,5519376208.512614,0.7513,17522033100.5374,0.7359,15039698001.37399,0.7426,11607155833.38556,0.7601
49,5967282708.391536,0.7785,6459926025.319884,0.7524,2791621768.247032,0.7234,783107326.5445136,0.7425,3041430325.802841,0.7356,1835638163.7687173,0.7382,2214137564.248968,0.7528
50,16927789809.887686,0.7779,10060636450.05887,0.7525,7846174526.965611,0.7213,3206498544.228652,0.7411,6955253866.109425,0.7309,10220861083.803564,0.7363,4520647274.77823,0.7531
51,44021258905.430466,0.776,29351638349.960045,0.7523,16427838345.128399,0.7168,5723232367.428408,0.7367,14948087331.820168,0.7272,21516541635.83005,0.7374,7824483292.952306,0.7516
52,69852145324.33807,0.7705,49193465584.20466,0.7511,23773594884.018925,0.7119,7646681761.382207,0.7306,22760840486.83039,0.715,31786134634.872543,0.7366,10877662919.524544,0.7465
53,90528867355.44981,0.7625,63307988771.7319,0.7386,28085590197.92985,0.6957,8507542298.442104,0.7145,28083425885.172913,0.6972,39977361454.914795,0.723,12411081798.707909,0.7349
54,104773346366.27975,0.7671,72966044289.87997,0.7358,29430328070.95154,0.6963,8774325091.687248,0.716,31998971298.795994,0.7041,43956013352.78663,0.7234,12873583509.21287,0.737
55,112890487214.30426,0.7738,78216803634.7628,0.7438,29122369870.231804,0.7056,8853602336.565718,0.7271,34257207766.416996,0.7145,45425549647.16549,0.7337,12919910064.733397,0.7415
56,115996109000.11752,0.7715,79089463969.04855,0.7446,27985699564.496574,0.7062,8749938363.914328,0.7225,35050611592.19939,0.7115,45049374754.25233,0.7321,12742955053.00109,0.7345
57,114466516270.38853,0.771,76797472870.5369,0.742,26597774760.113773,0.7041,8599968777.847805,0.7284,34514442933.518555,0.7111,43133578096.00241,0.7334,12541416144.132261,0.7358
