agent,profit_share,win_rate,price_impact,mean_spread,spread_std,bid_efficiency
RL_Agent_0,12.56,35.33,0.917,26.87,89.42,57.5
RL_Agent_1,15.43,35.67,0.961,2.83,21.98,59.6
RL_Agent_2,15.9,37.33,0.977,35.74,100.37,59.8
RL_Agent_3,11.59,30.67,0.98,17.81,71.17,61.5
RL_Agent_4,14.07,30.67,0.967,36.47,100.48,63.9
RL_Agent_5,13.13,30.67,0.957,27.85,92.92,58.6
RL_Agent_6,17.32,83.67,0.969,11.35,54.44,61.5
