episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_action_entropy,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_action_entropy
0,335,26.678011954650795,13.890085790402978,-5.69,72.40171793678996,54581.564179104476,0.6945604612277936,75999.85006213757,226.8652240660823,356.0190411411927,0.023880597014925373,3.3039041012840125,78635.9000903762,234.734030120526,355.6451001087756,0.056716417910447764,3.3952105007973805
1,335,27.55268288129224,14.303566998705744,-5.69,69.44200466843019,54882.692537313436,0.6873891436619194,85720.63960976251,255.88250629779853,362.71057671469976,0.0029850746268656717,3.0149195857496993,89905.14802130577,268.3735761830023,364.0589890316796,0.0029850746268656717,3.11661488608194
2,335,27.08507005855222,14.922717063526642,-5.69,66.76733790646594,55185.385074626865,0.689203648933078,83951.5895253669,250.60175977721462,373.039731873481,0.0,3.017289171412846,89062.51896313719,265.85826556160356,375.416220046698,0.0029850746268656717,3.119972648075473
3,335,27.782955001520655,14.281340573311589,-5.69,72.95128634459377,55438.3223880597,0.6860281697759901,84564.94458688257,252.43267040860468,366.3692173924768,0.0,2.9971909370983605,89634.15560105021,267.56464358522453,381.8147648801402,0.0,3.0889020116549055
4,335,28.385454122663187,14.086744977292017,-4.463989210313688,71.46903243210967,56408.05373134329,0.6819740149543726,85208.75838238937,254.3545026339981,378.6548462922284,0.0,2.99241713640385,90041.86738388232,268.7816936832308,383.89312573133213,0.0,3.1000513330455792
5,335,30.703461169521834,14.69352389191584,-5.69,83.65874066094563,57018.068656716416,0.6645823845994565,109563.05326390071,327.0538903400021,464.84377398801956,0.0,2.978609937629864,113595.33522429621,339.0905529083469,475.9406382955353,0.0,3.0946754489557966
6,335,32.0386558596302,17.31562025074947,-5.69,127.93609057715753,57611.14029850746,0.6536587777948119,117188.65705437821,349.8168867294872,593.7693616942794,0.0,2.9837522249306976,116874.65178981237,348.87955758152947,506.51801589097425,0.0,3.083938910671425
7,335,37.382025002852984,26.736109159296422,-5.69,177.7690041202487,58055.62985074627,0.6199455386640846,163767.0237480994,488.8567873077594,901.4127991857042,0.0,3.006697137086321,152159.20238427032,454.20657428140396,665.0427786372096,0.0,3.0823422556247557
8,335,36.368653723230686,26.909950589713286,-5.69,180.0653166848399,57860.03283582089,0.6288491726334903,159314.0755973912,475.56440476833194,889.8846615142915,0.0,2.9773365136847447,140207.7795528528,418.5306852323964,644.3551926059127,0.0,3.0649798893689315
9,335,36.232346029921416,27.303747312816245,-5.69,181.49717027458294,57444.7671641791,0.6290893965445215,161921.02204472653,483.34633446187024,905.6018314995558,0.0,2.9622944038842753,144533.37660064342,431.44291522580124,670.9836213571461,0.0,3.059961812279248
10,335,35.44115416097079,26.302162632334454,-0.2690099724613703,173.33456432507543,57000.1223880597,0.6364494674563369,156621.1143381357,467.5257144421961,878.2840255275869,0.0,2.965190314097687,134325.5691907557,400.971848330614,635.2022594951364,0.0,3.0262926411788715
11,335,35.42130818533072,26.512776810774124,-3.5210212156322083,178.14836038908774,56623.85970149254,0.6365826653248016,152236.0834154611,454.4360698968988,870.7937949472152,0.0,2.9668536807899395,135028.5425953251,403.0702764039555,644.1661950607189,0.0,3.060842508534386
12,335,35.57556995386161,26.45124599524237,-4.082417728496434,181.02333850417355,56549.149253731346,0.6368127068911963,153419.22740768542,457.9678430080162,893.6603774846776,0.0,2.9599876824408313,136874.4588338933,408.58047413102474,640.6169132923517,0.0,3.064180948937202
13,335,35.73073002919682,26.41497300893925,-2.98419853521562,177.2410707745268,56243.844776119404,0.6349854088348317,151151.46939203388,451.1984160956235,890.5111747173158,0.0,2.961975494835632,137737.10819510545,411.15554685106105,649.3526175803364,0.0,3.071617415522074
14,335,35.527366861360974,26.309043479751995,-5.69,177.05346901785379,55934.429850746266,0.6372558320015029,143943.15780995158,429.6810680894077,869.3692162896579,0.0,2.9725331183839754,134740.87724229012,402.21157385758244,646.5180316488988,0.0,3.0799269671856737
15,335,34.65319690742096,26.483670664437135,-5.147311552112688,172.82546630494943,55549.77611940299,0.6428025074556436,141571.64644243248,422.60192967890293,870.4702595663555,0.0,3.010247200958926,129367.73422474554,386.17234096938967,634.6909990878627,0.0,3.097385170068783
16,335,34.71188192415092,26.49601468569731,-3.7929138349006255,175.11226514084655,55254.525373134325,0.6432054975277038,141797.7931985503,423.2769946225382,879.588440232957,0.0,3.0114729438431547,131309.5897639794,391.9689246685952,636.3089429025465,0.0,3.0766156207428734
17,335,35.62654331043107,26.13099920103517,-2.8266454877926277,170.66806824016723,55149.03582089552,0.637107259424374,147196.46650783613,439.3924373368243,868.5004198300416,0.0,3.007100306128091,137626.82830112992,410.82635313770123,642.2487039667145,0.0,3.0725373520607158
18,335,35.13200799228663,26.05445866634794,-2.5421377873894944,183.59739917204914,54105.33432835821,0.6405411360691816,140568.43937376508,419.6072817127316,871.9583546720296,0.0,2.973871349321861,130719.07451877902,390.2061925933702,630.2988530411358,0.0,3.0549780238103583
19,335,32.839028803186714,25.81783212417024,-0.8661996241862795,182.57647598259257,52476.289552238806,0.658832795643691,120215.77132250716,358.85304872390196,835.2271650960312,0.0,2.9541269077595524,107576.6195900559,321.1242375822564,557.8177699407165,0.0,3.026708178623794
