episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_mean_action_idx,agent_0_action_entropy,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_mean_action_idx,agent_1_action_entropy
10,335,36.3803435899003,26.80616389342796,-5.272998017548303,180.7871147752651,57000.1223880597,0.6299412103072664,133904.5215544305,399.71498971471794,727.7405320414352,0.0,26.28955223880597,2.8920302813393546,150638.03839618206,449.66578625725987,661.3404364035197,0.0,26.644776119402984,2.991626618078477
11,335,35.46158977158217,26.676870014372287,-1.759670711634727,175.38990554126443,56623.85970149254,0.6374075796993891,124926.68668461197,372.9154826406327,715.733063076687,0.0,26.573134328358208,2.895541123778492,143149.24076134426,427.31116645177394,660.9068483654214,0.0,27.14626865671642,2.9965424378381273
12,335,35.50373283808794,26.27463823987215,-5.69,181.8147760220312,56549.149253731346,0.6366954382525617,125671.2833850065,375.1381593582284,717.6228628984074,0.0,27.143283582089552,2.9281969211657484,146213.01797629078,436.45677007847996,650.2164208796945,0.0,27.71044776119403,3.01575589389856
13,335,34.94869028002194,26.50284429392329,-4.165846460213881,188.60448672855642,56243.844776119404,0.6413748797579872,129442.14563067234,386.3944645691712,722.111795557296,0.0,26.949253731343283,2.9422834539559193,140999.80984699205,420.89495476714046,668.1016114726795,0.0,28.002985074626867,3.0159726294509124
14,335,35.20981673573673,26.37753118923607,-4.85589190666821,178.2224593003838,55934.429850746266,0.6393325527675331,128249.80145678917,382.8352282292214,719.388349365895,0.0,26.991044776119402,2.943650409262381,142003.86414211954,423.892131767521,648.0686505514708,0.0,27.91044776119403,3.0149079977658064
15,335,34.884684291556255,26.545994750007598,-5.69,173.7159658798216,55549.77611940299,0.6418784723430273,119476.76645154112,356.6470640344511,720.5664419941357,0.0,27.63582089552239,2.9402264239406635,140294.85756787896,418.79061960560887,661.3080467785584,0.0,28.405970149253733,3.0294321461249925
16,335,34.53690427184153,26.72012578443389,-3.870554502455639,182.90487118823785,55254.525373134325,0.6446308588452384,119269.94757297196,356.02969424767747,718.2985692029316,0.0,27.638805970149253,2.920674407170224,135362.90193523676,404.0683639857814,665.0559340415438,0.0,28.734328358208955,3.014649402873234
17,335,35.10900829622434,26.783481986506402,-2.960673226755784,182.58936349981957,55149.03582089552,0.6407414980341728,125173.62042453964,373.65259828220786,736.174864266582,0.0,28.18507462686567,2.903943174264529,140997.21475480055,420.8872082232852,674.8762034705836,0.0,28.686567164179106,3.0061876950801194
18,335,35.45885737536799,26.42141620668641,-0.6688135109626554,187.9786676189381,54105.33432835821,0.6392912360045607,123840.32342939575,369.6726072519276,732.5816311992068,0.0,28.486567164179103,2.89148777719096,141413.8563946822,422.1309146109916,667.3717782837425,0.0,29.340298507462688,2.978630688468106
19,335,33.039465164029295,26.68105481809491,0.022927951885546527,178.15745943095615,52476.289552238806,0.6583785494830837,104810.97204684932,312.8685732741771,699.4689791333514,0.0,28.361194029850747,2.870870396101302,126360.56236913479,377.1957085645815,665.2352742148764,0.0,29.44179104477612,2.981842182724027
