episode,agent_0_rolling_reward_var,agent_1_rolling_reward_var,agent_0_entropy,agent_1_entropy
58,2155259328.226721,890957361.9143192,0.7448,0.7802
59,1957380291.1119893,819241163.9534993,0.7455,0.7864
60,1627027932.3015618,690867278.9510564,0.7449,0.7769
61,1218865346.019023,579852575.752736,0.7512,0.7784
62,764983608.081602,428188272.50125945,0.7449,0.7652
63,121247574.31084864,225741188.17902148,0.747,0.7677
64,90946721.32101957,243569837.44838554,0.7449,0.7571
65,90691920.33078839,252493922.06696078,0.7505,0.7675
66,86377096.33497302,210585652.05656534,0.7409,0.7532
67,64939955.12256296,143108555.57474905,0.7308,0.7361
68,75715627.34212981,142094111.73552048,0.7357,0.7422
69,60170750.1882374,107727183.59217921,0.7331,0.7523
70,54360052.1907761,95205788.30510345,0.7421,0.7635
71,53749348.714415826,83114457.75263906,0.7386,0.7598
72,54440725.35743455,73641857.20738544,0.7339,0.7554
73,50406940.31049545,58095729.21707443,0.7256,0.7502
74,66225556.988959186,69370094.07963677,0.7293,0.7584
75,57825741.307030015,64568835.64506214,0.7238,0.7643
76,49555884.89503246,71578135.54509738,0.7315,0.7769
77,46478360.697703734,74327769.82320645,0.7224,0.7684
78,82204626.28439425,147923283.86354673,0.7231,0.7723
79,155807156.8640002,248893587.48443148,0.7299,0.773
80,218492309.66017678,357695969.25871664,0.7264,0.7689
81,282901871.74658954,422001053.8348073,0.7168,0.7628
82,305149914.2448197,404296227.2207993,0.7278,0.7712
83,343437463.1234497,417928197.11517495,0.7358,0.7721
84,351412229.3918204,410758476.9702147,0.7385,0.7733
85,350711533.7200101,393585999.64987415,0.7494,0.7826
86,321805480.395107,361176671.95196784,0.7452,0.7778
87,288351581.1135903,329582642.9060782,0.7453,0.7766
88,196805976.45706317,209370623.1481592,0.742,0.7769
89,140868735.96143666,174876400.09787604,0.7372,0.7725
90,133632847.33302417,192122728.38707674,0.7392,0.7728
91,170015861.57564414,231922008.73025376,0.7366,0.767
92,322677333.7730324,428200038.5548966,0.7294,0.7584
93,497396314.65496135,652693924.3347499,0.7131,0.7485
94,675703783.4292564,791444730.3930265,0.7041,0.7389
95,804044780.0651633,917107044.1972827,0.6923,0.7233
96,869499546.0928464,822051728.860728,0.6959,0.7299
97,878532170.7174236,745538337.3226323,0.702,0.7352
98,813413797.7868792,677969766.7291636,0.7039,0.7353
99,671034013.9582628,576800881.0846887,0.7081,0.7462
100,543971138.8854864,474305709.1648499,0.724,0.7593
101,420030084.4253539,388479644.32598275,0.7292,0.7651
102,297517725.97081953,309635565.3534435,0.7348,0.7702
103,229873787.54664695,294802382.96753246,0.7346,0.7719
104,158742757.09064513,284333091.5179384,0.7358,0.7707
105,131997083.99875155,292982439.4374305,0.7346,0.7701
106,164114683.79018447,321578711.8476364,0.7366,0.7711
107,208977765.95551872,322066434.3007835,0.7323,0.7644
108,248399173.49919307,284847006.4563342,0.7268,0.7583
109,272659797.57989144,165480162.9348668,0.723,0.7565
110,234920587.7094108,157638256.26443887,0.7187,0.7523
111,157702230.20762652,135415005.09912226,0.721,0.7526
112,109285994.13873519,135886700.48480874,0.7239,0.7598
113,94414574.99189265,169864197.84035012,0.727,0.7633
114,99918068.98864959,220113701.68859038,0.7082,0.7471
115,124074359.53106657,248439109.36757606,0.6969,0.7336
