episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_action_entropy,agent_0_mean_bid_price,agent_0_mean_bid_qty_mw,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_action_entropy,agent_1_mean_bid_price,agent_1_mean_bid_qty_mw
21,335,24.88417636033686,11.618842863482334,-3.077104861229145,66.1706696902918,49420.95223880597,0.71080802209021,75168.23341176446,224.3827863037745,322.7765897260361,0.0,0.7356,25.139037313432834,27.882462686567163,87928.88152394368,262.47427320580204,350.06045130088313,0.0,0.7721,36.39469589552239,27.416044776119403
22,335,24.24435238290454,10.614598723682887,-4.411922195805722,61.4855256909264,48578.12537313433,0.717041758509073,67621.53463045473,201.85532725508875,313.59658335710037,0.0,0.7154,24.025442164179108,28.199626865671643,82262.64523583149,245.5601350323328,337.33538810866617,0.0,0.75,35.34854850746268,27.583955223880597
23,335,23.398876609115995,9.935228800512377,-5.69,49.04064302120107,47861.09253731343,0.7237556727426016,57078.641414203375,170.3840042215026,276.78806340714345,0.0,0.7159,25.820126865671643,27.957089552238806,68707.78533295135,205.0978666655264,309.39761108205164,0.0,0.7483,38.819018656716416,27.26679104477612
24,335,22.783550637488904,10.452587345729887,-2.622193365472591,51.244351387436474,47420.24179104478,0.7268490115402202,54482.81006955345,162.63525393896552,268.73720746769743,0.0,0.7172,27.678093283582093,28.16231343283582,67312.0899294759,200.9316117297788,320.7545705476081,0.0,0.7406,41.26739925373135,27.416044776119403
25,335,22.494691149091985,10.37011456921459,-5.220935276685005,48.995187587417824,47380.00597014926,0.7288215803170155,53355.648740251425,159.27059325448187,260.3872618597566,0.0,0.7109,28.502690298507463,28.06902985074627,64985.84281614576,193.9875904959575,307.380039646887,0.0,0.7368,43.160899253731344,27.061567164179106
26,335,22.22559887689698,9.649944796164789,-4.916059442565672,51.1127914676208,47176.49552238806,0.7318192105124071,51007.167272452076,152.26020081328977,256.38525192409224,0.0,0.7113,29.171091417910446,28.311567164179106,58725.14006465906,175.29892556614647,288.32720651930373,0.0,0.7334,42.757281716417914,27.136194029850746
27,335,21.727391385929476,9.466200177509371,-5.69,48.96005459245243,47177.82985074627,0.7352936940752719,47216.5305803227,140.94486740394836,233.21742297746206,0.0,0.7084,29.37353731343284,28.348880597014926,55899.095452269234,166.86297149931116,275.0167702561038,0.0,0.7346,41.88967910447761,26.763059701492537
28,335,21.986305501632664,9.877175232245863,-5.057111646132525,49.59129198018029,47410.03283582089,0.7329535954762659,49095.30542030267,146.55315050836617,247.19702798143186,0.0,0.7025,31.611856343283584,28.236940298507463,59692.42242962429,178.1863356108188,291.6699989455978,0.0,0.7229,44.15542910447761,27.024253731343283
29,335,21.78124306168359,9.87151195800606,-2.489128226440487,55.18416224856257,48201.337313432836,0.7343069589104638,47621.64763545734,142.1541720461413,234.46025504269917,0.0,0.7064,29.37830410447761,28.628731343283583,58662.61708546941,175.11228980737135,274.141143777568,0.0,0.7323,39.058518656716416,27.32276119402985
30,335,22.933548095124905,10.204581147770563,-1.718293438915202,56.25950811699789,48886.36716417911,0.7263371326676903,58069.60870874242,173.34211554848483,264.84614960905543,0.0,0.7104,28.317024253731343,28.57276119402985,61922.07738834732,184.84202205476814,291.27907637374017,0.0,0.7357,38.858873134328356,26.949626865671643
