episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_Cost Plus Markup Baseline Agent_total_reward,agent_Cost Plus Markup Baseline Agent_mean_reward,agent_Cost Plus Markup Baseline Agent_std_reward,agent_Cost Plus Markup Baseline Agent_clip_rate,agent_Cost Plus Markup Baseline Agent_action_entropy,agent_Cost Plus Markup Baseline Agent_mean_bid_price,agent_Cost Plus Markup Baseline Agent_mean_bid_qty_mw,agent_Quantile Baseline Agent_total_reward,agent_Quantile Baseline Agent_mean_reward,agent_Quantile Baseline Agent_std_reward,agent_Quantile Baseline Agent_clip_rate,agent_Quantile Baseline Agent_action_entropy,agent_Quantile Baseline Agent_mean_bid_price,agent_Quantile Baseline Agent_mean_bid_qty_mw
10,335,35.34442044574579,26.733660003830625,-3.022932156479941,173.44014745221983,57000.1223880597,0.6376888077958309,161670.97112796508,482.59991381482115,812.3773893139002,0.0,0.7577,0.7577,45.82275186567164,27.229477611940297,128498.09872171257,383.57641409466436,707.1424124218181,0.0,0.7168,0.7168,46.0191921641791,23.684701492537314,135189.5150912932,403.55079131729315,642.8377327693527,0.0,0.7245,0.7245,17.908380597014922,22.975746268656717,258985.84647253726,773.0920790224993,1303.043150462912,0.0,-0.0,33.685,46.875,223807.05470486928,668.0807603130427,1249.749871380604,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
11,335,35.503138893668606,26.818731898454175,-3.2442624516199126,182.12819905594486,56623.85970149254,0.6370247679092623,161033.53277582605,480.69711276365985,807.4415253646519,0.0,0.762,0.762,46.53057462686568,26.85634328358209,136625.95121062643,407.83866033022815,718.2316450202017,0.0,0.7208,0.7208,43.99841231343284,24.486940298507463,135539.45384943418,404.5953846251767,655.3230336272566,0.0,0.7334,0.7334,18.416738805970148,23.050373134328357,264506.25745692983,789.5709177818801,1304.7797696981218,0.0,-0.0,33.685,46.875,221200.00062341325,660.2985093236216,1253.4345912139465,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
12,335,35.90651948393185,26.768696389994023,-5.69,179.04987928769395,56549.149253731346,0.6343924414431722,164691.53484447923,491.6165219238186,820.1020050312918,0.0,0.7674,0.7674,46.54894962686568,26.91231343283582,141993.88921208394,423.862355856967,727.3951448798226,0.0,0.7248,0.7248,45.6423973880597,24.636194029850746,137397.88928690006,410.1429530952241,644.8998677514229,0.0,0.7321,0.7321,18.17822014925373,23.08768656716418,272396.20502023573,813.1230000604052,1304.059848233758,0.0,-0.0,33.685,46.875,232455.79240125447,693.8978877649387,1255.333659024544,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
13,335,35.86345801760696,26.56347504277412,-2.6279995088233417,173.2841774586065,56243.844776119404,0.6346918950876701,165750.97918204888,494.77904233447424,812.4369305306909,0.0,0.7701,0.7701,44.62496268656717,27.024253731343283,145595.95149283225,434.6147805756186,738.4439820936946,0.0,0.7285,0.7285,43.026447761194035,24.654850746268657,138903.21202914882,414.6364538183547,650.6312953331492,0.0,0.7397,0.7397,18.117632462686565,23.684701492537314,267006.3482074063,797.033875245989,1300.4745754662056,0.0,-0.0,33.685,46.875,229193.87189780173,684.160811635229,1246.4156148989466,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
14,335,35.4065749520473,26.471320200861076,-4.456185723078812,180.2949066915913,55934.429850746266,0.6381939376600595,164163.23940798218,490.0395206208423,807.6970601516172,0.0,0.772,0.772,43.537291044776126,27.080223880597014,142729.58331970216,426.0584576707527,722.0125754063365,0.0,0.7272,0.7272,45.52716791044776,24.86007462686567,140932.22757628263,420.69321664561977,641.9056668941006,0.0,0.7431,0.7431,18.10455410447761,23.442164179104477,259297.3824144893,774.0220370581769,1293.1448233419005,0.0,-0.0,33.685,46.875,227200.6187896445,678.2108023571478,1237.4891554560431,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
15,335,34.41757556135006,26.702497930918852,-3.516530148603084,172.96984335809375,55549.77611940299,0.6450560264992852,151298.90203200432,451.6385135283711,794.9344552159328,0.0,0.777,0.777,44.872050373134336,26.632462686567163,129293.19840482324,385.949845984547,722.6515142040552,0.0,0.7294,0.7294,50.852335820895526,24.449626865671643,136255.84699393314,406.733871623681,643.8116117758308,0.0,0.7419,0.7419,18.070050373134325,23.684701492537314,257620.16740469864,769.0154250886527,1285.5455608045688,0.0,-0.0,33.685,46.875,213404.6281677576,637.0287407992764,1236.8401172558874,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
16,335,34.57223235541322,26.622282057862705,-5.69,182.2575495396319,55254.525373134325,0.6439404514822241,153750.6355812676,458.9571211381122,803.0410588897784,0.0,0.7797,0.7797,43.11221082089553,27.17350746268657,133189.26146158943,397.57988495996847,707.8071669814944,0.0,0.7268,0.7268,55.26642723880597,24.542910447761194,139055.16745084574,415.0900520920768,636.7234881003187,0.0,0.743,0.743,18.5396473880597,23.42350746268657,250966.5236758403,749.1538020174337,1289.1213249955972,0.0,-0.0,33.685,46.875,211597.71261083113,631.6349630174063,1246.0461522497596,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
17,335,35.52698176367762,25.812869455054543,-1.1245517128972944,176.63122146258698,55149.03582089552,0.6376987330994377,163376.9661900208,487.69243638812173,793.5446642566434,0.0,0.7793,0.7793,42.290701492537316,27.042910447761194,141320.13288060296,421.85114292717304,702.222889788708,0.0,0.7243,0.7243,56.71897574626865,24.057835820895523,141633.12927880662,422.7854605337511,629.7898238766567,0.0,0.7396,0.7396,18.31575559701492,23.53544776119403,256024.83170199368,764.2532289611752,1274.7011603999867,0.0,-0.0,33.685,46.875,216467.37489329182,646.1712683381845,1229.6130083193946,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
18,335,35.417704241063824,25.83868296593461,-2.3961108447981525,176.14957878350577,54105.33432835821,0.6385626762762169,158049.59897092104,471.7898476743912,784.7755085776571,0.0,0.7754,0.7754,40.699296641791044,26.91231343283582,140095.76512383134,418.1963138024816,725.242321548248,0.0,0.7242,0.7242,57.063522388059695,23.88992537313433,138793.84258344056,414.3099778610166,637.2420340821271,0.0,0.7352,0.7352,18.019350746268653,23.330223880597014,252720.67088381533,754.3900623397473,1278.0548458517724,0.0,-0.0,33.685,46.875,215140.93229146604,642.2117381834807,1227.8032310360943,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
19,335,33.51619302749899,26.089122792503236,0.7824325096566387,176.75381780417433,52476.289552238806,0.6548596637142872,144344.29151324753,430.8784821290971,791.0759109082308,0.0,0.7687,0.7687,38.29761753731344,27.229477611940297,121384.41288151313,362.34153098959143,694.3316958211084,0.0,0.7258,0.7258,58.26045708955224,23.740671641791046,124878.7413641651,372.77236228108984,628.0265438323394,0.0,0.7283,0.7283,18.080630597014924,23.386194029850746,223606.41650983263,667.4818403278587,1276.1895190375985,0.0,-0.0,33.685,46.875,187889.64378909447,560.8646083256551,1226.9433691981671,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
