episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
148,621367208.4487966,0.7335,0.7335,706507807.2720691,0.6922,0.6922,47953057.954782486,0.7004,0.7004,889462980.5652821,-0.0,126828699.90866454,0.4312
149,596729585.2407887,0.7303,0.7303,698949681.4668975,0.6912,0.6912,55967278.961034745,0.6968,0.6968,852438188.2072035,-0.0,132984536.52870926,0.4312
150,623625623.3262529,0.7201,0.7201,730981629.7344824,0.6815,0.6815,79308930.50073251,0.6886,0.6886,890198344.3485233,-0.0,183256833.71287727,0.4312
151,490357439.7904405,0.7162,0.7162,610320516.9052695,0.6805,0.6805,90919152.03763387,0.683,0.683,774089697.6437196,-0.0,214308867.59492624,0.4316
152,334572425.21603084,0.714,0.714,413072531.8248285,0.6781,0.6781,82022489.09084572,0.6811,0.6811,606605506.4343947,-0.0,206365887.0078091,0.4317
153,123978596.74225987,0.7151,0.7151,141463593.80953553,0.68,0.68,73969631.8545337,0.6885,0.6885,326258188.0459659,-0.0,195256028.75609684,0.4316
154,138440497.37575862,0.7187,0.7187,156582710.4466653,0.6809,0.6809,78243055.269716,0.691,0.691,393211983.6147875,-0.0,213488303.38131917,0.4312
155,148902141.70821568,0.7157,0.7157,185693710.3387348,0.6775,0.6775,84674572.09045897,0.6827,0.6827,438813982.7589585,-0.0,234508656.74286917,0.4312
156,154670685.84478778,0.7188,0.7188,205316321.8206239,0.6775,0.6775,87385576.67773911,0.686,0.686,478849459.65383285,-0.0,263466774.06799853,0.4312
157,147649406.87566075,0.7175,0.7175,203556502.4658403,0.6814,0.6814,87195403.555485,0.688,0.688,462154461.2322807,-0.0,240923970.41844127,0.4312
158,128204283.34183574,0.7195,0.7195,218745107.4731286,0.6814,0.6814,69248888.76251237,0.686,0.686,416558562.34181273,-0.0,203306631.7987464,0.4316
159,116375587.47729567,0.7207,0.7207,225007834.85147887,0.6796,0.6796,61368978.27619708,0.686,0.686,376251374.32011265,-0.0,192605550.52047926,0.4317
160,78833147.77821967,0.7209,0.7209,203747636.8987119,0.6766,0.6766,36640557.82771127,0.6826,0.6826,262337661.909675,-0.0,111407551.34563838,0.4316
161,57496309.754449286,0.7135,0.7135,210640795.85770944,0.6711,0.6711,36841467.97330066,0.6766,0.6766,243401655.4201563,-0.0,111228487.78057119,0.4312
162,49544737.512417115,0.7116,0.7116,215042911.1937931,0.6718,0.6718,40478284.68143447,0.6738,0.6738,253400347.67257646,-0.0,117281568.12410194,0.4312
163,28782817.417248607,0.7039,0.7039,214175686.36677536,0.665,0.665,37157457.78173116,0.6691,0.6691,219728239.13593042,-0.0,99656861.39199805,0.4312
164,32260790.264310423,0.704,0.704,224298201.57364944,0.6627,0.6627,49792963.25238244,0.6696,0.6696,249708707.1891249,-0.0,145238420.6742153,0.4312
165,39082995.15083687,0.7029,0.7029,242006921.3418321,0.6603,0.6603,57926273.868612066,0.6684,0.6684,272108253.6734561,-0.0,156720187.05368444,0.4316
166,42826007.838960245,0.7012,0.7012,250770243.5343865,0.6596,0.6596,74748419.36379845,0.6703,0.6703,295165989.8327537,-0.0,177260610.5806964,0.4317
167,36318201.78172726,0.6877,0.6877,214718790.81435296,0.6464,0.6464,74562485.20808877,0.6564,0.6564,262499602.10599837,-0.0,164502852.8607381,0.4316
168,34500320.96904485,0.706,0.706,183426812.73897317,0.6588,0.6588,74066346.91306819,0.6661,0.6661,245141780.22108972,-0.0,145824942.5309312,0.4312
169,28413049.764609076,0.719,0.719,152872458.56890476,0.6642,0.6642,66425521.88828672,0.6741,0.6741,207110678.90205446,-0.0,122811373.33402285,0.4312
170,21194812.587864943,0.7225,0.7225,110880454.54727551,0.664,0.664,54807204.13678305,0.6759,0.6759,169213986.80725676,-0.0,123861003.25207506,0.4312
171,17666814.462074105,0.7235,0.7235,70770173.35073885,0.667,0.667,44100559.598767124,0.6788,0.6788,118609886.42124358,-0.0,99936158.09012403,0.4312
172,15815270.656233702,0.7234,0.7234,52399798.64330918,0.6617,0.6617,35248466.89959099,0.6812,0.6812,72480918.60139215,-0.0,88171535.3304757,0.4316
173,14987983.371064037,0.7252,0.7252,46128471.59784043,0.6618,0.6618,27919626.228918076,0.683,0.683,56676157.6377623,-0.0,116277900.61042969,0.4317
174,21525360.805794634,0.7305,0.7305,46914379.20592574,0.6682,0.6682,23695146.216589984,0.6898,0.6898,51094629.77143175,-0.0,125529239.49733213,0.4316
175,25999741.607099015,0.7321,0.7321,53357640.05177219,0.6664,0.6664,33111476.57419533,0.6936,0.6936,57883497.06952922,-0.0,172246984.02799696,0.4312
176,25225785.850512877,0.7309,0.7309,51308867.319601774,0.6669,0.6669,34842110.22846702,0.6951,0.6951,56322993.05782367,-0.0,175266596.29587162,0.4312
177,25917656.73269307,0.7264,0.7264,51188418.616498694,0.6639,0.6639,37848124.05342469,0.6915,0.6915,55104008.83445426,-0.0,196925942.65224603,0.4312
178,25291569.96610137,0.7294,0.7294,45231968.6127585,0.6651,0.6651,38096609.817869246,0.6975,0.6975,45228297.63389446,-0.0,176349490.26481792,0.4312
179,23202266.86388416,0.7264,0.7264,40875170.41792819,0.6632,0.6632,40609991.38898233,0.701,0.701,43850713.701365985,-0.0,166422214.65203616,0.4316
180,15524759.662361234,0.7223,0.7223,17218463.966537643,0.6601,0.6601,34643639.068314604,0.6975,0.6975,27674430.077175394,-0.0,121283003.58367623,0.4317
181,21941631.73237056,0.723,0.723,23258340.492162105,0.6618,0.6618,25806903.271656003,0.6982,0.6982,26476027.94890505,-0.0,71673391.14597175,0.4316
182,28421163.622617822,0.7142,0.7142,53634172.97121958,0.6569,0.6569,20734475.596487258,0.6946,0.6946,37461034.68445036,-0.0,67088646.64560266,0.4312
183,33155475.334964696,0.6968,0.6968,71354549.64657019,0.6468,0.6468,18402397.862427857,0.6832,0.6832,43713479.11091126,-0.0,61554314.56013096,0.4312
184,33977573.30409736,0.6982,0.6982,70242029.74016026,0.6452,0.6452,15856698.010896994,0.6825,0.6825,43282075.164963685,-0.0,60152477.594353996,0.4312
185,32645493.596860044,0.7062,0.7062,75400982.84173447,0.6505,0.6505,10655428.189805416,0.687,0.687,39945018.72941241,-0.0,48997703.64227113,0.4312
186,32678977.482240226,0.7118,0.7118,75639494.43523961,0.6585,0.6585,10540955.07345449,0.6893,0.6893,34191033.02076088,-0.0,33141572.77897815,0.4316
187,32789953.100190993,0.7093,0.7093,68217937.6788821,0.6574,0.6574,11993019.400667477,0.6884,0.6884,35818830.878057025,-0.0,42932249.88868947,0.4317
188,27667807.65082002,0.7017,0.7017,58124015.29035432,0.6525,0.6525,15777600.218131188,0.6808,0.6808,35206946.21191217,-0.0,58921755.91758133,0.4316
189,22572612.76382542,0.7025,0.7025,41580977.67905768,0.6575,0.6575,17607255.281714108,0.6803,0.6803,31059676.217094403,-0.0,83640816.56061527,0.4312
190,24615049.131377093,0.6954,0.6954,39485080.96688343,0.6527,0.6527,18728956.756987486,0.6736,0.6736,37228894.15035199,-0.0,85754619.61761014,0.4312
191,40684510.08782963,0.7079,0.7079,84206914.5392938,0.6659,0.6659,20304214.41832566,0.6763,0.6763,79722356.44054434,-0.0,81420321.30824167,0.4312
192,74106289.6064209,0.7164,0.7164,206137664.56008244,0.6789,0.6789,27375647.642222587,0.6761,0.6761,164496001.38656572,-0.0,75741945.00457469,0.4312
193,99657601.12744632,0.7219,0.7219,307219738.4097646,0.6852,0.6852,28128268.097681183,0.6745,0.6745,219959256.0914306,-0.0,77753508.16827941,0.4316
194,112715568.59057687,0.7186,0.7186,383973510.5785411,0.6853,0.6853,26109712.706793312,0.669,0.669,267055256.98073328,-0.0,58964021.277441695,0.4317
195,102627697.21484727,0.7101,0.7101,395947604.7612579,0.6776,0.6776,26933990.824989438,0.6595,0.6595,269048846.964255,-0.0,55404357.444482855,0.4316
196,83662213.23448245,0.7097,0.7097,361526905.99005693,0.6761,0.6761,26393787.520089306,0.6553,0.6553,231606699.98898774,-0.0,56072660.756221995,0.4312
197,69848941.2754078,0.7121,0.7121,315373098.5886544,0.6781,0.6781,26354726.99328622,0.652,0.652,193405914.55322117,-0.0,68606732.16222455,0.4312
198,85210244.85423349,0.7104,0.7104,307825891.966864,0.6811,0.6811,35783327.16621787,0.6508,0.6508,205462944.54603487,-0.0,86531166.01861586,0.4312
199,104589260.50719984,0.7226,0.7226,310155315.257483,0.6868,0.6868,52401868.239987485,0.6606,0.6606,233075871.61168653,-0.0,91878235.84555618,0.4312
