episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
50,276295699.029986,0.7443,0.7443,292233405.5061444,0.7121,0.7121,239629007.8568322,0.7207,0.7207,979201957.6105164,-0.0,734421570.1954566,0.4312
51,525041905.34103405,0.742,0.742,514991575.6948373,0.7033,0.7033,489891853.9867753,0.7119,0.7119,1806585480.9440634,-0.0,1426224320.626473,0.4312
52,891868083.2572391,0.7388,0.7388,860575054.2940398,0.7001,0.7001,802438648.9030383,0.7144,0.7144,3012906868.7377515,-0.0,2442626629.4454193,0.4312
53,1311026119.5894582,0.7388,0.7388,1227734949.926783,0.6967,0.6967,1127904159.0423205,0.7152,0.7152,4284913905.22182,-0.0,3529839404.739005,0.4316
54,1510428955.0360487,0.7374,0.7374,1448587570.744987,0.6896,0.6896,1303876817.385427,0.7079,0.7079,5043333503.610815,-0.0,4173787741.574768,0.4317
55,1648954003.4822552,0.742,0.742,1581596418.5393186,0.6959,0.6959,1428137542.5147402,0.71,0.71,5566155455.824235,-0.0,4551531864.602991,0.4316
56,1706466052.3281126,0.7446,0.7446,1637030671.2201257,0.6951,0.6951,1475317559.7393358,0.716,0.716,5762220323.439506,-0.0,4834579213.132742,0.4312
57,1659516429.4353995,0.7445,0.7445,1573180265.3128302,0.7017,0.7017,1412527977.0469167,0.7152,0.7152,5539520976.994509,-0.0,4725044650.053877,0.4312
58,1573113328.115813,0.7527,0.7527,1487592189.1777866,0.7109,0.7109,1289765994.7464914,0.7208,0.7208,5168400975.847486,-0.0,4439060593.796379,0.4312
59,1431481374.3466163,0.7576,0.7576,1326271462.520448,0.7171,0.7171,1137866265.9268067,0.7263,0.7263,4650689251.037375,-0.0,4004164670.7706103,0.4312
60,1203917845.3654122,0.7498,0.7498,1129067399.0182261,0.7118,0.7118,957516468.4045066,0.718,0.718,4001761863.1549196,-0.0,3369271102.66685,0.4316
61,914093372.2020645,0.7524,0.7524,883517511.4783529,0.7136,0.7136,719423042.2862366,0.7225,0.7225,3118720831.46928,-0.0,2448990259.6703367,0.4317
62,610906427.5175347,0.747,0.747,702944154.036051,0.7037,0.7037,435251779.80002093,0.7089,0.7089,2065670031.7497897,-0.0,1535418968.4962058,0.4316
63,213352246.92362016,0.751,0.751,506844108.19876724,0.7047,0.7047,82610744.41232339,0.7101,0.7101,792037302.7050432,-0.0,245409649.6528662,0.4312
64,221969213.96840122,0.7446,0.7446,617464218.631946,0.6953,0.6953,74314177.20342837,0.7038,0.7038,824105627.2671708,-0.0,169315978.08721542,0.4312
65,226675168.25229937,0.7449,0.7449,659159759.1657602,0.7008,0.7008,74931261.55972937,0.7095,0.7095,844101657.5878408,-0.0,167972372.66300428,0.4312
66,202117220.51378787,0.7365,0.7365,605761727.8590077,0.6894,0.6894,68957872.29836528,0.6963,0.6963,739651292.0613208,-0.0,161007110.81951416,0.4312
67,131672423.28128716,0.7229,0.7229,497990686.55983585,0.6743,0.6743,46046620.867085576,0.6862,0.6862,552207368.601157,-0.0,108910065.93872073,0.4316
68,120774987.02774402,0.7259,0.7259,392840624.2217502,0.6788,0.6788,44369485.68433546,0.6946,0.6946,439875643.36165994,-0.0,108952515.42531274,0.4317
69,88905862.76658784,0.7354,0.7354,316280022.49327815,0.6868,0.6868,33353817.79299186,0.7024,0.7024,302978301.6105896,-0.0,90169157.43639745,0.4316
70,69443032.54507412,0.7426,0.7426,262639094.69832823,0.6979,0.6979,27672642.845575318,0.7064,0.7064,207220694.97515848,-0.0,77160261.13720451,0.4312
71,62482362.555450864,0.7433,0.7433,222428297.70002538,0.698,0.698,27039903.050265405,0.7033,0.7033,172151328.63369715,-0.0,96200162.15071592,0.4312
