profile_id,agent_id,mean_payoff,std_err,ci_low,ci_high,n_rollouts
a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,149934.32325782324,129.18375901662884,149681.12309015065,150187.52342549583,16
a0:cost_plus_agent_0|a1:hist_quantile_agent_1,0,150135.8031035882,122.64315849747364,149895.42251293315,150376.18369424326,16
a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,80896.1269079369,108.57476196246591,80683.32037449046,81108.93344138333,16
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,0,150172.80811712364,123.7951726409625,149930.16957874736,150415.44665549992,16
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,1,38447.579893986505,52.903677732012035,38343.88868563176,38551.27110234125,16
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,0,150156.74132059433,123.86468987327049,149913.96652844272,150399.51611274594,16
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,1,59231.350191093836,26.895204485812123,59178.635590301645,59284.06479188603,16
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,0,150159.78465323412,123.66688283812819,149917.3975628714,150402.17174359685,16
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,1,64464.761664547295,55.81971981739232,64355.35501370521,64574.16831538938,16
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,0,150178.91955153257,123.8559822333282,149936.16182635524,150421.6772767099,16
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,1,37781.367689537336,32.82706882237561,37717.02663464548,37845.70874442919,16
a0:hist_quantile_agent_0|a1:learned_agent_1,0,81097.83335182571,109.34264530685932,80883.52176702427,81312.14493662716,16
a0:hist_quantile_agent_0|a1:learned_agent_1,1,51008.959810443856,43.11450307766031,50924.45538441164,51093.46423647607,16
a0:hist_quantile_agent_0|a1:cost_plus_agent_1,0,81017.54560598054,105.8546921584005,80810.07040935008,81225.020802611,16
a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,150014.38440554452,128.44964896753942,149762.62309356814,150266.1457175209,16
a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,0,81310.88892237093,110.57155186413279,81094.16868071722,81527.60916402463,16
a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,80895.51999040271,108.57239863152434,80682.71808908493,81108.3218917205,16
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,0,81113.53328906836,109.25781901766553,80899.38796379374,81327.67861434299,16
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,1,38483.150617648316,53.63178458651773,38378.03231985874,38588.26891543789,16
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,0,81075.93709306231,109.67459341917643,80860.97488996072,81290.8992961639,16
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,1,59254.40601493352,25.594106803019905,59204.2415655996,59304.57046426744,16
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,0,81090.02081979025,108.75761864075305,80876.85588725438,81303.18575232613,16
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,1,64502.910322912496,54.00392601733326,64397.06262791852,64608.75801790647,16
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,0,81106.19829156897,109.70384049072334,80891.17876420716,81321.21781893079,16
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,1,37808.81829220323,32.212069430092136,37745.68263612025,37871.95394828621,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1,0,47132.67276626088,61.46267136236914,47012.20593039064,47253.13960213112,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1,1,51022.30532220365,41.97126874696965,50940.04163545959,51104.56900894771,16
a0:learned_agent_0__price_up_1|a1:cost_plus_agent_1,0,47100.242167639226,62.210342772573064,46978.30989580498,47222.17443947347,16
a0:learned_agent_0__price_up_1|a1:cost_plus_agent_1,1,150176.26030439485,122.348671810861,149936.45690764557,150416.06370114413,16
a0:learned_agent_0__price_up_1|a1:hist_quantile_agent_1,0,47120.11997473612,61.908521883848,46998.77927184378,47241.460677628456,16
a0:learned_agent_0__price_up_1|a1:hist_quantile_agent_1,1,81098.21124094972,110.70823871070364,80881.22309307674,81315.1993888227,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_up_1,0,47208.98006611186,61.57282284866196,47088.29733332848,47329.66279889523,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_up_1,1,38490.756581689704,53.76181837740171,38385.38341767,38596.12974570941,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_down_1,0,47120.84487429121,61.50097257327912,47000.30296804758,47241.386780534835,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_down_1,1,59381.21804070746,25.53695321565092,59331.16561240479,59431.27046901014,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_up_1,0,47130.90541922619,61.68795380149699,47009.99702977526,47251.81380867712,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_up_1,1,64522.66570847467,53.157969689218845,64418.4760878838,64626.85532906554,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_down_1,0,47136.975407360034,61.45904135624624,47016.51568630179,47257.43512841828,16
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_down_1,1,37821.12857195092,31.25882388883821,37759.861277128795,37882.39586677304,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1,0,73677.83189871167,39.52506386156554,73600.36277354299,73755.30102388034,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1,1,51003.50541079664,42.632635864024664,50919.94544450315,51087.06537709013,16
a0:learned_agent_0__price_down_1|a1:cost_plus_agent_1,0,73642.28711942692,39.67840642066422,73564.51744284242,73720.05679601143,16
a0:learned_agent_0__price_down_1|a1:cost_plus_agent_1,1,150129.9948173085,124.56080088263342,149885.85564757854,150374.13398703845,16
a0:learned_agent_0__price_down_1|a1:hist_quantile_agent_1,0,73663.36243459044,39.40475843702277,73586.12910805388,73740.595761127,16
a0:learned_agent_0__price_down_1|a1:hist_quantile_agent_1,1,81056.47577920146,111.52747840618198,80837.88192152535,81275.06963687757,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_up_1,0,73727.25950149476,39.16898125962145,73650.4882982259,73804.03070476362,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_up_1,1,38476.37896300436,53.75886885102673,38371.01158005635,38581.74634595237,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_down_1,0,73670.09335804397,39.557154522434104,73592.56133518,73747.62538090795,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_down_1,1,59343.298016108325,26.38557133232349,59291.58229629697,59395.01373591968,16
