source,target,agent_id,from_policy_id,to_policy_id,gain_mean,gain_lcb,decision_rule,epsilon
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,0,learned_agent_0,cost_plus_agent_0,90926.09864681528,90574.83716765612,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,0,learned_agent_0,hist_quantile_agent_0,21845.294419283236,21564.72281722194,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_down_1,0,learned_agent_0,learned_agent_0__price_down_1,14439.450684264913,14256.31839580478,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,0,learned_agent_0,learned_agent_0__quantity_up_1,14014.556788561884,13988.810541683488,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:learned_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__price_down_1,cost_plus_agent_1,90798.89413578076,90553.4609412799,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:learned_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__price_down_1,hist_quantile_agent_1,21717.616650815206,21497.371780290156,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_down_1,a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__price_down_1,learned_agent_1__quantity_up_1,5158.975768721608,5054.479208619957,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,0,learned_agent_0,cost_plus_agent_0,90919.21765459258,90566.908440673,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,0,learned_agent_0,hist_quantile_agent_0,21849.453821148712,21569.596125271728,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_up_1,0,learned_agent_0,learned_agent_0__price_down_1,14435.301272075325,14250.327363106893,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,0,learned_agent_0,learned_agent_0__quantity_up_1,14014.217756651473,13987.893445474441,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,a0:learned_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__quantity_up_1,cost_plus_agent_1,85639.91836705916,85357.07005959221,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,a0:learned_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__quantity_up_1,hist_quantile_agent_1,16558.640882093598,16292.775545890678,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,0,learned_agent_0,cost_plus_agent_0,90932.2472639103,90578.37891617263,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,0,learned_agent_0,hist_quantile_agent_0,21859.526003946754,21577.952107435987,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_down_1,0,learned_agent_0,learned_agent_0__price_down_1,14435.66190394665,14250.72224664971,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,0,learned_agent_0,learned_agent_0__quantity_up_1,14013.972130508831,13988.555471053456,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0|a1:learned_agent_1,1,learned_agent_1__quantity_down_1,learned_agent_1,13198.965715620086,13176.101338370057,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__quantity_down_1,cost_plus_agent_1,112337.0054549466,112075.37767982781,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__quantity_down_1,hist_quantile_agent_1,43255.72796998103,43017.09331658356,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0|a1:learned_agent_1__price_up_1,1,learned_agent_1__quantity_down_1,learned_agent_1__price_up_1,669.7654830848437,538.7382903792771,conservative,0.0
