profile_id,agent_id,best_response_gap
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_up_1,1,111665.48259100513
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1,0,105291.40796810623
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1,1,112318.51197357583
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1,0,105307.93739361805
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1,1,85636.75561649476
a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,0,76892.71911581248
a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,1,-69079.50967937036
a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,0,76900.82756464154
a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,1,69079.50967937036
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,0,76911.51928171978
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,1,99092.61793095448
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,0,76911.54185825339
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,1,90793.99533100212
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,0,76892.13018430553
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,1,111620.56309300521
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,0,76918.27513340149
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,1,112292.80220131727
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,0,76904.9998979411
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,1,85595.77485984417
a0:learned_agent_0|a1:cost_plus_agent_1,0,90899.59843464402
a0:learned_agent_0|a1:cost_plus_agent_1,1,-69081.27748496555
a0:learned_agent_0|a1:hist_quantile_agent_1,0,90912.16595589739
a0:learned_agent_0|a1:hist_quantile_agent_1,1,69081.27748496555
a0:learned_agent_0|a1:learned_agent_1,0,90927.62958273996
a0:learned_agent_0|a1:learned_agent_1,1,99138.0397393265
a0:learned_agent_0|a1:learned_agent_1__price_down_1,0,90926.09864681528
a0:learned_agent_0|a1:learned_agent_1__price_down_1,1,90798.89413578076
a0:learned_agent_0|a1:learned_agent_1__price_up_1,0,90864.6754388577
a0:learned_agent_0|a1:learned_agent_1__price_up_1,1,111667.23997186174
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,0,90932.2472639103
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,1,112337.0054549466
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,0,90919.21765459258
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,85639.91836705916
